,"(515, 377, 1)","(377, 515, 1)","(515, 377, 3)","(377, 515, 3)","(515, 377, 5)","(377, 515, 5)","(515, 377, 10)","(377, 515, 10)","(0, 0, 0)"
"{""377"": 36, ""515"": -6}",-9.930847242909584,-6.191571490690334,-3.408453848516122,-8.896569150012917,-5.708163953362243,-5.95108231382862,-3.408453848516122,-3.674369310030961,-2.317659167162397
"{""377"": 59, ""515"": -28}",-6.816907697032244,-4.635318334324794,0.0,-0.6,-1.194,-1.194,-2.3642393999999998,-1.78206,0.0
"{""377"": 58, ""515"": -25}",-4.0760791255806,-7.348738620061922,-3.51119103594,-12.859311551566861,-1.194,-21.443303874916893,-1.78206,-6.279704744477014,-7.348738620061922
"{""377"": 34, ""515"": 17}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": -15, ""515"": 40}",-6.429655775783431,-5.462791872083074,-6.191571490690334,-11.849817985873898,-6.665359218025596,-8.68340318183123,-3.674369310030961,-5.95108231382862,-11.481295771731352
"{""377"": -28, ""515"": 62}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": -30, ""515"": 64}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 53, ""515"": -23}",-7.348738620061922,-2.940597006,0.0,0.0,-0.6,-0.6,0.0,0.0,0.0
"{""377"": 92, ""515"": -35}",-13.330718436051193,-5.188965150981547,-4.0760791255806,-2.940597006,-13.797411251690681,-36.906235266390894,0.0,-4.0760791255806,-6.816907697032244
"{""377"": 70, ""515"": -42}",-1.194,-4.0760791255806,-18.215206917025576,-5.188965150981547,-7.348738620061922,-1.194,-10.429882569864796,-6.279704744477014,-1.78206
"{""377"": 59, ""515"": -26}",-2.3642393999999998,-5.188965150981547,-7.875251233861302,-14.259437139173775,-1.78206,-12.859311551566861,-4.635318334324794,-5.188965150981547,-5.188965150981547
"{""377"": 52, ""515"": -21}",-6.279704744477014,-1.78206,-4.0760791255806,-0.6,-12.383142981380669,-2.3642393999999998,-10.429882569864796,-5.7370754994717315,-7.348738620061922
"{""377"": 61, ""515"": -33}",-13.330718436051193,-4.635318334324794,-4.635318334324794,-3.51119103594,-26.838991370256874,-0.6,-26.165688572856723,-20.660446765551367,-3.51119103594
"{""377"": -25, ""515"": 59}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": -12, ""515"": 42}",-6.429655775783431,-0.3,-4.198249360761345,-16.30170756768255,-0.597,-1.1821196999999999,-2.317659167162397,-0.89103,-13.585300728277153
"{""377"": 22, ""515"": 30}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": -19, ""515"": 45}",-5.708163953362243,-4.198249360761345,-3.408453848516122,-4.964587156497372,-2.8685377497358657,-3.139852372238507,-4.198249360761345,-2.317659167162397,-5.214941284932398
"{""377"": -15, ""515"": 41}",-5.462791872083074,-7.808988798351587,-5.708163953362243,-4.711704198482194,-2.5944825754907734,-5.95108231382862,-6.191571490690334,-4.964587156497372,-4.964587156497372
"{""377"": -36, ""515"": 67}",-0.6,-20.263077540960975,-2.940597006,-21.443303874916893,-1.78206,-6.279704744477014,-0.6,-3.51119103594,-1.194
"{""377"": 64, ""515"": -36}",-21.05384229789585,-2.3642393999999998,-14.259437139173775,-2.3642393999999998,-28.145667422693183,-1.78206,-16.50117984252878,-3.51119103594,-2.940597006
"{""377"": 7, ""515"": 21}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": -23, ""515"": 48}",-0.597,-5.214941284932398,0.0,-7.808988798351587,-6.191571490690334,-3.408453848516122,-2.5944825754907734,-0.3,-12.739357500692135
"{""377"": -39, ""515"": 72}",-12.859311551566861,-2.940597006,-7.348738620061922,-0.6,-7.348738620061922,-2.3642393999999998,-4.0760791255806,-6.279704744477014,-2.940597006
"{""377"": -38, ""515"": 72}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 61, ""515"": -30}",-16.50117984252878,-1.194,-3.51119103594,0.0,-4.0760791255806,-0.6,-4.0760791255806,-2.3642393999999998,-2.940597006
"{""377"": 51, ""515"": -20}",-7.348738620061922,-16.061797820736142,-0.6,-0.6,-6.279704744477014,-0.6,-5.7370754994717315,-2.3642393999999998,-0.6
"{""377"": 97, ""515"": -50}",-2.940597006,-5.7370754994717315,0.0,-14.259437139173775,0.0,-1.194,0.0,-1.194,-1.78206
"{""377"": 101, ""515"": -50}",-0.6,-1.194,-1.194,-0.6,-5.7370754994717315,-6.816907697032244,-5.7370754994717315,-1.78206,-1.78206
"{""377"": 109, ""515"": -57}",-1.78206,-1.194,-0.6,-2.3642393999999998,-0.6,-1.194,0.0,0.0,-1.78206
"{""377"": 106, ""515"": -57}",-1.194,-1.78206,-1.78206,0.0,-5.7370754994717315,-1.78206,-9.423408396964389,-0.6,-5.188965150981547
"{""377"": 105, ""515"": -48}",-8.912533734307463,-5.7370754994717315,-1.194,-2.3642393999999998,-2.3642393999999998,-0.6,0.0,-11.90216462765724,-1.78206
"{""377"": 3, ""515"": 28}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": -12, ""515"": 46}",-0.3,-1.1821196999999999,0.0,-2.0380395627903,-0.597,-2.317659167162397,0.0,-6.191571490690334,-0.89103
"{""377"": 64, ""515"": -39}",-2.940597006,-1.78206,0.0,-4.635318334324794,0.0,-2.940597006,-0.6,-1.194,-0.6
"{""377"": -9, ""515"": 40}",-4.456266867153731,-4.198249360761345,-6.429655775783431,-19.76501815457871,-4.456266867153731,-10.526921148947926,-3.139852372238507,-6.191571490690334,-17.97946041145377
"{""377"": 23, ""515"": 43}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": -35, ""515"": 61}",-1.78206,-1.78206,-4.635318334324794,-1.194,-2.3642393999999998,-0.6,-2.940597006,-1.194,-4.0760791255806
"{""377"": -46, ""515"": 71}",-0.6,-1.78206,-2.3642393999999998,-1.78206,-5.188965150981547,-1.194,-0.6,-0.6,-0.6
"{""377"": -43, ""515"": 74}",0.0,-8.912533734307463,-3.51119103594,-3.51119103594,-1.194,-3.51119103594,-1.78206,-0.6,0.0
"{""377"": -38, ""515"": 71}",-4.635318334324794,-3.51119103594,-8.912533734307463,-9.423408396964389,-3.51119103594,-7.348738620061922,-5.188965150981547,-12.859311551566861,-6.816907697032244
"{""377"": -41, ""515"": 75}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": -8, ""515"": 38}",-2.5944825754907734,-2.8685377497358657,-2.8685377497358657,-13.252015843564077,-3.674369310030961,-14.389784320490794,-3.408453848516122,-7.808988798351587,-19.237551069543226
