,"(1, 515)","(3, 515)","(5, 515)","(10, 515)","(0, 0)"
"{""377"": 18, ""515"": 19}",-0.06997082267935574,-0.1704226924258061,-0.3281354680775543,-0.33967326046505,0.0
"{""377"": 16, ""515"": 19}",-0.12641395283420181,-0.2607470642466199,-0.6132017819909182,-1.2264035639818365,0.0
"{""377"": 14, ""515"": 20}",-0.4873686075961159,-1.4770737928777655,-2.4488600477806832,-4.921240060633423,0.0
"{""377"": 15, ""515"": 19}",-0.48603312388322034,-1.4410309787611701,-2.417154108210361,-4.773738875928597,0.0
"{""377"": 13, ""515"": 17}",-0.4582301351633974,-1.401546990760227,-2.2497353143462764,-4.489307855007196,0.0
"{""377"": 15, ""515"": 11}",-0.17544868581579878,-0.7350213806256517,-0.9567746476442796,-2.291574620165731,0.0
"{""377"": 32, ""515"": -6}",-0.10319285817817224,-0.4125294960632196,-0.7413807625010764,-1.264139528342018,0.0
"{""377"": 53, ""515"": -6}",-2.0380395627903,-2.8685377497358657,-3.408453848516122,-2.5944825754907734,-29.422233001730373
"{""377"": 57, ""515"": -6}",-5.214941284932398,-6.665359218025596,-14.389784320490794,-5.462791872083074,-10.914435418083862
"{""377"": 55, ""515"": -3}",-3.139852372238507,-9.523362149688383,-4.711704198482194,-12.388896541875457,-28.25465484069875
"{""377"": 55, ""515"": -6}",-17.232296298340344,-16.574303587085666,-11.849817985873898,-2.0380395627903,-4.456266867153731
"{""377"": 64, ""515"": -7}",-3.139852372238507,-11.105291063903023,-2.8685377497358657,-12.565007576456702,-29.367535752760958
"{""377"": 70, ""515"": -4}",-28.734659080047365,-29.80485665364027,-29.91941561929679,-29.39245736763452,-28.543485446082812
"{""377"": 63, ""515"": 3}",-23.5537665688176,-22.1974361586682,-12.031319806015158,-22.57983942318394,-26.29112897590913
"{""377"": 51, ""515"": -1}",-23.807773886477577,-22.03901250756882,-24.11125457930922,-26.543089838588585,-28.25465484069875
"{""377"": 17, ""515"": 8}",-0.06997082267935574,-0.2355852099241097,-0.3061974425025801,-0.6562709361551086,0.0
"{""377"": 15, ""515"": 18}",-0.26938901629095213,-0.8219345246002865,-1.6724172791974645,-2.6470667920717488,0.0
"{""377"": 1, ""515"": 30}",-0.047808962495597754,-0.11588295835811985,-0.12252487525,-0.7852840330803657,0.0
"{""377"": 3, ""515"": 30}",-0.14827615250021528,-0.6282503788228353,-0.7236169318192691,-1.6551412071515974,0.0
"{""377"": 3, ""515"": 31}",-0.05680756414193536,-0.02985,-0.1462996264975,-0.38627652786039945,0.0
"{""377"": 17, ""515"": 20}",-0.4972027555768447,-1.4941558860287971,-2.4846897010928872,-4.9733984838644085,0.0
"{""377"": 6, ""515"": 28}",-0.038627652786039954,-0.11588295835811985,-0.1462996264975,-0.0995,0.0
"{""377"": 1, ""515"": 29}",-0.0148505,-0.059105985,-0.04975,-0.19701995,0.0
"{""377"": 55, ""515"": -8}",-2.0380395627903,-2.8685377497358657,-2.317659167162397,-3.674369310030961,-29.653942986048474
"{""377"": 66, ""515"": -15}",-29.999571266659284,-22.352707179110705,-29.99999999999926,-29.987062323446317,-21.877372214640157
"{""377"": 59, ""515"": -7}",-15.739798739828776,-21.10840237802374,-16.973060196245633,-16.16334097745712,-29.999999999993918
"{""377"": 61, ""515"": -12}",-23.014066111559803,-10.526921148947926,-29.999679662411904,-10.330223382775683,-8.030898910368071
"{""377"": 60, ""515"": -3}",-5.214941284932398,-8.468084022051746,-3.139852372238507,-16.023576744906183,-29.559543538278948
"{""377"": 64, ""515"": 2}",-24.11125457930922,-22.800225612475952,-25.68765188539124,-26.364935509288536,-28.164707233808826
"{""377"": 59, ""515"": 7}",-19.128839464185077,-11.666482814014039,-29.466868567731154,-10.721651937458446,-29.68067772640666
"{""377"": 37, ""515"": 13}",-0.05680756414193536,-0.18371846550154805,-1.5663392988643263,-0.5680756414193536,0.0
"{""377"": 17, ""515"": 11}",-0.061239488500516005,-0.20991246803806723,-0.098509975,-0.827431192749562,0.0
"{""377"": -6, ""515"": 32}",-0.89103,-4.711704198482194,-2.317659167162397,-0.89103,-25.373341446184646
"{""377"": -9, ""515"": 34}",-11.294238153263992,-4.964587156497372,-24.11125457930922,-21.10840237802374,-6.429655775783431
"{""377"": -5, ""515"": 38}",-5.462791872083074,-4.964587156497372,-18.90811087050819,-7.358421383891018,-7.358421383891018
"{""377"": -14, ""515"": 45}",-3.139852372238507,-10.526921148947926,-1.75559551797,-13.419495685128437,-19.86736797303292
"{""377"": -8, ""515"": 41}",-9.107603458512788,-11.481295771731352,-26.215823870940852,-4.456266867153731,-6.429655775783431
"{""377"": -11, ""515"": 45}",0.0,0.0,0.0,-0.3,0.0
"{""377"": 19, ""515"": 18}",0.0,0.0,0.0,-0.05,0.0
"{""377"": 17, ""515"": 18}",-0.02450497505,-0.059105985,-0.0742525,-0.2450497505,0.0
"{""377"": 10, ""515"": 23}",-0.2151993987614203,-0.5740647885865677,-0.8608519485646403,-2.2365826141880736,0.0
"{""377"": 30, ""515"": -4}",-0.2935251644330558,-1.2283095703110436,-1.6031292557952694,-3.036444858210974,0.0
"{""377"": 45, ""515"": -19}",-0.15872270249480638,-0.7941200376215246,-0.8106773773492916,-2.9143956003338967,0.0
"{""377"": 70, ""515"": -23}",-3.674369310030961,-4.456266867153731,-2.8685377497358657,-2.317659167162397,-28.78451856100377
"{""377"": 76, ""515"": -25}",-28.43732571199232,-15.4502588917751,-26.904896090952686,-17.486373602003372,-4.964587156497372
"{""377"": 77, ""515"": -25}",-1.75559551797,-13.74944772099438,-4.456266867153731,-4.198249360761345,-23.356446382834154
"{""377"": 68, ""515"": -19}",-29.999619977252785,-14.545886477285885,-29.999571266659284,-18.682900592294857,-10.721651937458446
"{""377"": 69, ""515"": -12}",-8.468084022051746,-29.605642480485702,-7.129718569586887,-6.8987056258453405,-29.969293553968804
"{""377"": 77, ""515"": -11}",-29.55060048798995,-29.439393259345977,-29.971090490602975,-29.58531898461423,-29.05457257479552
"{""377"": 67, ""515"": -1}",-27.822756289396512,-25.815732936743235,-27.908548378796695,-26.508171554129884,-29.472199882053843
"{""377"": 64, ""515"": -14}",-19.451723803259313,-21.62873734244821,-9.7281285281915,-27.493808109803837,-21.877372214640157
"{""377"": 33, ""515"": -5}",-0.4075977180257267,-0.367921069194551,-2.4523342226427554,-0.8691568808220664,0.0
"{""377"": 17, ""515"": 9}",-0.12264035639818364,-0.4125294960632196,-0.4345784404110332,-1.2264035639818365,0.0
"{""377"": 11, ""515"": 14}",-0.04324137625817955,-0.2482293578248686,-0.37135557226281096,-0.7427111445256219,0.0
"{""377"": 21, ""515"": 10}",-0.06997082267935574,-0.12972412877453865,-0.2840378207096768,-0.4780896249559775,0.0
"{""377"": 23, ""515"": 10}",-0.1819072569680644,-0.8989730205726886,-0.7413807625010764,-1.9749696643123167,0.0
"{""377"": 25, ""515"": 9}",-0.15179339097521313,-0.40154494551840364,-1.0470839647047254,-1.1882864282644814,0.0
"{""377"": 12, ""515"": 25}",-0.061239488500516005,-0.2975541156914311,-0.3281354680775543,-0.7427111445256219,0.0
"{""377"": 10, ""515"": 25}",-0.14472338636385382,-0.18371846550154805,-0.9567746476442796,-1.7217038971292806,0.0
"{""377"": 24, ""515"": 6}",-0.00995,-0.0445515,-0.12252487525,-0.19701995,0.0
"{""377"": 46, ""515"": -20}",-0.12264035639818364,-0.5165111691387843,-0.2616543643532089,-0.7852840330803657,0.0
"{""377"": 57, ""515"": -10}",-2.5944825754907734,-4.198249360761345,-4.964587156497372,-2.8685377497358657,-29.869454612412557
"{""377"": 48, ""515"": 1}",-0.18508818439838376,-0.15699261861192534,-0.23904481247798876,-0.19701995,0.0
"{""377"": 51, ""515"": 6}",-1.75559551797,-1.1821196999999999,-1.470298503,-16.70856055121481,-17.735394767323506
"{""377"": 52, ""515"": 14}",-19.86736797303292,-20.266634104097207,-4.964587156497372,-21.958598492493756,-14.545886477285885
"{""377"": 37, ""515"": 29}",-0.005,-0.015,-0.0742525,-0.0995,0.0
"{""377"": 27, ""515"": 23}",-0.00995,-0.059105985,-0.04975,-0.0995,0.0
"{""377"": -5, ""515"": 33}",-0.3,-0.3,-1.470298503,-0.597,-2.317659167162397
"{""377"": -11, ""515"": 37}",-0.89103,-2.8685377497358657,-1.75559551797,0.0,-7.358421383891018
"{""377"": -18, ""515"": 43}",-4.456266867153731,-4.711704198482194,-13.585300728277153,-3.937625616930651,-0.89103
"{""377"": -20, ""515"": 53}",-2.317659167162397,-3.937625616930651,-21.958598492493756,-2.8685377497358657,-6.665359218025596
"{""377"": -27, ""515"": 58}",-2.8685377497358657,-6.191571490690334,-0.597,-6.429655775783431,-0.89103
"{""377"": -16, ""515"": 49}",-3.139852372238507,-3.674369310030961,-26.253665632231442,-1.470298503,-8.030898910368071
"{""377"": -16, ""515"": 50}",0.0,0.0,0.0,0.0,0.0
"{""377"": 18, ""515"": 15}",-0.17544868581579878,-0.6541422143214183,-0.9095362848403219,-2.739781748667622,0.0
"{""377"": 57, ""515"": -31}",-1.75559551797,-6.191571490690334,-1.75559551797,-2.5944825754907734,-11.294238153263992
"{""377"": 71, ""515"": -24}",-3.674369310030961,-5.708163953362243,-4.456266867153731,-4.964587156497372,-29.87205246562555
"{""377"": 80, ""515"": -29}",-23.221555333980366,-10.330223382775683,-17.35997333535694,-16.438690492005723,-3.408453848516122
"{""377"": 75, ""515"": -23}",-1.75559551797,-22.27546179708152,-3.139852372238507,-2.0380395627903,-19.451723803259313
"{""377"": 85, ""515"": -36}",-22.352707179110705,-1.1821196999999999,-4.964587156497372,-9.7281285281915,-9.7281285281915
"{""377"": 93, ""515"": -36}",-2.0380395627903,-12.565007576456702,-1.1821196999999999,-1.470298503,-0.89103
"{""377"": 100, ""515"": -34}",-6.429655775783431,-3.139852372238507,-4.456266867153731,-12.739357500692135,-10.526921148947926
"{""377"": 95, ""515"": -29}",-11.105291063903023,-12.911963925685214,-19.019029761803107,-12.388896541875457,-13.419495685128437
"{""377"": 81, ""515"": -31}",-6.8987056258453405,-11.481295771731352,-1.75559551797,-2.317659167162397,-9.107603458512788
"{""377"": 64, ""515"": -36}",-1.1821196999999999,-1.75559551797,-19.86736797303292,-3.408453848516122,-1.75559551797
"{""377"": 45, ""515"": -20}",-0.052330872870641774,-0.11588295835811985,-0.3281354680775543,-0.33967326046505,0.0
"{""377"": 48, ""515"": -15}",-0.052330872870641774,-0.18371846550154805,-0.5748921354871118,-0.6123948850051602,0.0
"{""377"": 46, ""515"": -15}",-0.02450497505,-0.059105985,-0.21620688129089774,-0.33967326046505,0.0
"{""377"": 55, ""515"": -21}",0.0,0.0,0.0,0.0,0.0
"{""377"": 16, ""515"": 21}",-0.038627652786039954,-0.15699261861192534,-0.3061974425025801,-0.5233087287064178,0.0
"{""377"": 9, ""515"": 25}",-0.14827615250021528,-0.3904494399175794,-0.8608519485646403,-0.9104653120138457,0.0
"{""377"": 2, ""515"": 28}",-0.0148505,-0.07351492515,-0.04975,-0.0995,0.0
"{""377"": 19, ""515"": 7}",-0.11497842709742236,-0.4864064264095751,-0.5159642908908613,-1.7217038971292806,0.0
"{""377"": 34, ""515"": -8}",-0.11882864282644813,-0.3904494399175794,-0.9567746476442796,-4.63346065478056,0.0
"{""377"": 62, ""515"": -11}",-17.85804081965027,-10.721651937458446,-15.882400752430488,-12.739357500692135,-21.372491718994056
"{""377"": 57, ""515"": -8}",-20.069007350369564,-27.144009289223476,-29.72259011189191,-5.214941284932398,-9.107603458512788
"{""377"": 61, ""515"": -4}",-7.808988798351587,-21.71244996902373,-8.68340318183123,-19.128839464185077,-29.999159322895064
"{""377"": 62, ""515"": 4}",-26.508171554129884,-24.399861698528884,-24.620529492158667,-28.323428403902405,-29.39245736763452
"{""377"": 57, ""515"": -7}",-19.345175558847792,-25.644092813526505,-6.8987056258453405,-23.356446382834154,-27.283981251444697
"{""377"": 26, ""515"": 2}",-0.2525806701998964,-0.5263460574473964,-1.781040976582839,-1.264139528342018,0.0
"{""377"": 15, ""515"": 10}",-0.07852840330803657,-0.19688128084653256,-0.37135557226281096,-0.827431192749562,0.0
"{""377"": 21, ""515"": 12}",-0.15872270249480638,-0.8743186801001689,-0.9411865127719995,-2.450071268752172,0.0
"{""377"": 12, ""515"": 19}",-0.06562709361551085,-0.18371846550154805,-0.37135557226281096,-0.6123948850051602,0.0
"{""377"": 22, ""515"": 12}",-0.02450497505,-0.19688128084653256,-0.0742525,-0.148505,0.0
"{""377"": 19, ""515"": 15}",-0.12641395283420181,-0.4125294960632196,-0.6875491601053659,-1.7544868581579878,0.0
"{""377"": 20, ""515"": 10}",-0.02450497505,-0.02985,-0.169836630232525,-0.19701995,0.0
"{""377"": 43, ""515"": -17}",-0.2094167929409451,-0.7577420105996892,-0.8608519485646403,-3.7254511965184527,0.0
"{""377"": 56, ""515"": -5}",-9.31652742392766,-17.486373602003372,-18.568586456863493,-13.252015843564077,-8.896569150012917
"{""377"": 53, ""515"": -4}",-10.914435418083862,-8.25058992126439,-9.523362149688383,-2.0380395627903,-8.68340318183123
"{""377"": 48, ""515"": 9}",-0.00995,-0.0445515,-0.1462996264975,-1.301498133058598,0.0
"{""377"": 46, ""515"": 4}",-0.047808962495597754,-0.5360825968729224,-1.594069955348757,-2.850554932380531,0.0
"{""377"": 14, ""515"": 12}",-0.06997082267935574,-0.4864064264095751,-0.5748921354871118,-0.9513606588937072,0.0
"{""377"": 13, ""515"": 12}",-0.047808962495597754,-0.2975541156914311,-0.37135557226281096,-0.7852840330803657,0.0
"{""377"": 17, ""515"": 16}",-0.24755705560646504,-1.0084158638432936,-1.3352980620755157,-2.6705961241510314,0.0
"{""377"": 8, ""515"": 23}",-0.07852840330803657,-0.30957857453451676,-0.3281354680775543,-0.5680756414193536,0.0
"{""377"": 24, ""515"": 10}",-0.12264035639818364,-0.2975541156914311,-0.8106773773492916,-1.2264035639818365,0.0
"{""377"": 30, ""515"": 3}",-0.2094167929409451,-0.4234042011025874,-0.7236169318192691,-1.8190725696806438,0.0
"{""377"": 31, ""515"": -1}",0.0,-0.02985,0.0,-0.05,0.0
"{""377"": 48, ""515"": -22}",-0.047808962495597754,-0.583324140700702,-0.34985411339677874,-1.301498133058598,0.0
"{""377"": 74, ""515"": -23}",-28.20122955985603,-16.574303587085666,-29.998249105355477,-29.983533108684433,-9.7281285281915
"{""377"": 70, ""515"": -18}",-4.711704198482194,-17.486373602003372,-7.358421383891018,-4.456266867153731,-29.14497238342334
"{""377"": 60, ""515"": -11}",-29.477477883233306,-13.419495685128437,-19.019029761803107,-3.408453848516122,-3.139852372238507
"{""377"": 74, ""515"": -17}",-5.708163953362243,-27.908548378796695,-3.408453848516122,-8.896569150012917,-27.710550482802176
"{""377"": 82, ""515"": -16}",-29.790633406983822,-23.356446382834154,-29.968670088734623,-27.54368132841874,-19.128839464185077
"{""377"": 68, ""515"": -18}",-9.930847242909584,-25.326607521398632,-3.408453848516122,-28.421541123224564,-16.16334097745712
"{""377"": 50, ""515"": -22}",-0.061239488500516005,-0.14342688748679328,-2.4204185669019807,-0.292599252995,0.0
