,"(1, 377)","(3, 377)","(5, 377)","(10, 377)","(0, 0)"
"{""377"": 20, ""515"": 20}",-0.49840668621294826,-1.4973582053878842,-2.494282150235115,-4.99250207815959,0.0
"{""377"": 24, ""515"": 13}",0.0,-0.015,0.0,0.0,0.0
"{""377"": 20, ""515"": 15}",-0.07852840330803657,-0.40154494551840364,-0.8934709947882039,-2.6470667920717488,0.0
"{""377"": 28, ""515"": 6}",-0.0292599252995,-0.059105985,-0.169836630232525,-0.148505,0.0
"{""377"": 34, ""515"": 0}",-0.047808962495597754,-0.11588295835811985,-0.098509975,0.0,0.0
"{""377"": 31, ""515"": 2}",-0.3847320908407369,-0.6455981962842609,-0.6132017819909182,-1.2264035639818365,0.0
"{""377"": 30, ""515"": 0}",-0.005,-0.02985,-0.04975,-0.05,0.0
"{""377"": 42, ""515"": -16}",-13.585300728277153,-24.228440613180968,-20.266634104097207,-29.48787607335696,-22.94350112278768
"{""377"": 66, ""515"": -40}",-4.198249360761345,-2.0380395627903,-0.89103,-0.597,-0.89103
"{""377"": 87, ""515"": -40}",-0.597,-0.89103,-0.89103,-3.674369310030961,-7.808988798351587
"{""377"": 100, ""515"": -49}",-0.597,-0.597,-0.89103,-0.3,-0.597
"{""377"": 89, ""515"": -37}",-18.568586456863493,-3.139852372238507,-2.5944825754907734,-1.75559551797,-0.89103
"{""377"": 98, ""515"": -49}",-0.3,0.0,-0.3,-1.470298503,-1.470298503
"{""377"": 99, ""515"": -42}",-1.470298503,-0.89103,-2.5944825754907734,-3.408453848516122,-1.470298503
"{""377"": 114, ""515"": -48}",-1.75559551797,-0.89103,-0.89103,-0.597,-1.1821196999999999
"{""377"": 107, ""515"": -41}",-1.75559551797,-2.317659167162397,-0.3,-2.0380395627903,-7.358421383891018
"{""377"": 98, ""515"": -48}",-0.3,-1.1821196999999999,-0.89103,-0.597,0.0
"{""377"": 71, ""515"": -43}",-5.95108231382862,-0.89103,-0.3,-2.0380395627903,-7.129718569586887
"{""377"": 54, ""515"": -28}",-3.674369310030961,-12.739357500692135,-12.031319806015158,-13.911953243784437,-0.597
"{""377"": 55, ""515"": -30}",-1.1821196999999999,-1.470298503,-0.597,-2.317659167162397,-4.964587156497372
"{""377"": 59, ""515"": -26}",-7.129718569586887,-2.5944825754907734,-2.5944825754907734,-0.597,-3.674369310030961
"{""377"": 52, ""515"": -21}",-1.470298503,-1.1821196999999999,-4.964587156497372,-5.95108231382862,-1.75559551797
"{""377"": 49, ""515"": -16}",-22.1974361586682,-4.964587156497372,-7.808988798351587,-6.429655775783431,-13.911953243784437
"{""377"": 52, ""515"": -18}",0.0,0.0,0.0,0.0,0.0
"{""377"": 26, ""515"": 11}",-0.005,0.0,-0.025,-0.05,0.0
"{""377"": 15, ""515"": 20}",-0.49196409148387166,-1.4821675064103166,-2.4657888162306736,-4.9381200372683764,0.0
"{""377"": 21, ""515"": 13}",-0.06562709361551085,-0.15699261861192534,-0.2840378207096768,-0.827431192749562,0.0
"{""377"": 13, ""515"": 21}",-0.15179339097521313,-0.4234042011025874,-0.5358046479819527,-1.4472338636385382,0.0
"{""377"": 14, ""515"": 19}",-0.47826544669988963,-1.4334724416892854,-2.3997227812828115,-4.773738875928597,0.0
"{""377"": 9, ""515"": 21}",-0.033967326046505,-0.07351492515,-0.12252487525,-0.292599252995,0.0
"{""377"": 23, ""515"": 3}",-0.4999249413979022,-1.1137730898540763,-0.669241575864006,-1.7217038971292806,0.0
"{""377"": 28, ""515"": -2}",-29.970798475356542,-25.600093751036873,-11.481295771731352,-17.486373602003372,-29.999992068423573
