,"(1, 324)","(3, 324)","(5, 324)","(10, 324)","(1, 3354)","(3, 3354)","(5, 3354)","(10, 3354)","(0, 0)"
20,-0.13750983202107317,-0.30957857453451676,-0.650749066529299,-1.55275457065461,-0.15179339097521313,-0.4234042011025874,-0.776377285327305,-1.6213547546985831,0.0
25,-0.019701995,-0.07351492515,-0.0742525,-0.292599252995,-0.033967326046505,-0.07351492515,-0.098509975,-0.33967326046505,0.0
23,-0.019701995,-0.11588295835811985,-0.1462996264975,-0.148505,-0.02450497505,-0.02985,-0.04975,-0.292599252995,0.0
16,-0.033967326046505,-0.07351492515,-0.12252487525,-0.19701995,-0.033967326046505,-0.015,-0.169836630232525,-0.4324137625817955,0.0
6,-0.0827431192749562,-0.15699261861192534,-0.37135557226281096,-0.5233087287064178,-0.05680756414193536,-0.18371846550154805,-0.169836630232525,-0.33967326046505,0.0
-6,-6.429655775783431,-9.7281285281915,-6.8987056258453405,-7.584837170052108,-7.808988798351587,-7.808988798351587,-6.191571490690334,-6.8987056258453405,-16.84147494570266
-13,-8.25058992126439,-7.808988798351587,-11.294238153263992,-8.68340318183123,-9.107603458512788,-8.030898910368071,-9.523362149688383,-10.526921148947926,-10.914435418083862
-32,-5.214941284932398,-4.456266867153731,-2.317659167162397,-2.5944825754907734,-2.8685377497358657,-3.674369310030961,-3.408453848516122,-1.75559551797,-3.674369310030961
-33,-2.5944825754907734,-2.5944825754907734,-2.317659167162397,-3.139852372238507,-3.139852372238507,-3.674369310030961,-1.75559551797,-1.470298503,-2.5944825754907734
-29,-2.8685377497358657,-3.937625616930651,-2.8685377497358657,-3.139852372238507,-3.937625616930651,-3.937625616930651,-3.937625616930651,-4.198249360761345,-3.139852372238507
-10,-8.68340318183123,-6.8987056258453405,-6.191571490690334,-9.31652742392766,-8.25058992126439,-8.030898910368071,-9.930847242909584,-8.030898910368071,-8.25058992126439
-23,-3.937625616930651,-4.964587156497372,-4.198249360761345,-6.429655775783431,-10.526921148947926,-4.964587156497372,-6.429655775783431,-7.358421383891018,-5.214941284932398
-11,-8.68340318183123,-14.545886477285885,-5.462791872083074,-5.214941284932398,-5.462791872083074,-6.665359218025596,-9.31652742392766,-5.95108231382862,-8.25058992126439
-18,-5.708163953362243,-4.964587156497372,-5.708163953362243,-6.429655775783431,-10.914435418083862,-6.665359218025596,-6.191571490690334,-8.25058992126439,-6.665359218025596
-7,-4.456266867153731,-6.665359218025596,-5.95108231382862,-4.198249360761345,-7.584837170052108,-5.462791872083074,-8.468084022051746,-4.456266867153731,-14.545886477285885
-19,-5.95108231382862,-8.68340318183123,-3.408453848516122,-3.139852372238507,-6.191571490690334,-6.191571490690334,-2.8685377497358657,-11.105291063903023,-6.665359218025596
