,"(1, 324)","(3, 324)","(5, 324)","(10, 324)","(1, 3354)","(3, 3354)","(5, 3354)","(10, 3354)","(0, 0)"
20,-0.13014981330585979,-0.3904494399175794,-0.6875491601053659,-1.4113473370086245,-0.13014981330585979,-0.3214827887891716,-0.632069764171009,-1.0716092959639054,0.0
27,0.0,-0.0445515,-0.0742525,-0.148505,-0.033967326046505,-0.015,-0.0742525,-0.19701995,0.0
17,-0.0148505,-0.07351492515,-0.169836630232525,-0.33967326046505,-0.019701995,-0.02985,-0.0742525,-0.38627652786039945,0.0
22,-0.033967326046505,-0.07351492515,-0.2616543643532089,-0.148505,-0.0148505,-0.0445515,-0.098509975,-0.19701995,0.0
11,-0.06997082267935574,-0.07351492515,-0.21620688129089774,-0.292599252995,-0.019701995,-0.101901978139515,-0.1462996264975,-0.38627652786039945,0.0
7,-0.047808962495597754,-0.0877797758985,-0.5159642908908613,-0.5233087287064178,-0.0292599252995,-0.15699261861192534,-0.2840378207096768,-0.6562709361551086,0.0
-5,-3.139852372238507,-5.462791872083074,-5.214941284932398,-4.711704198482194,-5.214941284932398,-3.408453848516122,-4.456266867153731,-4.198249360761345,-15.4502588917751
-19,-4.711704198482194,-3.408453848516122,-6.191571490690334,-6.429655775783431,-3.408453848516122,-5.214941284932398,-5.214941284932398,-4.711704198482194,-4.456266867153731
-31,-2.317659167162397,-2.0380395627903,-1.470298503,-4.456266867153731,-2.5944825754907734,-1.470298503,-2.5944825754907734,-1.470298503,-1.1821196999999999
-30,-3.139852372238507,-3.674369310030961,-1.75559551797,-3.139852372238507,-4.198249360761345,-1.1821196999999999,-2.317659167162397,-1.470298503,-2.0380395627903
-21,-3.139852372238507,-3.139852372238507,-4.198249360761345,-6.191571490690334,-3.139852372238507,-5.214941284932398,-4.456266867153731,-2.5944825754907734,-4.456266867153731
-29,-3.408453848516122,-3.139852372238507,-1.75559551797,-1.75559551797,-3.408453848516122,-4.198249360761345,-2.5944825754907734,-3.139852372238507,-2.0380395627903
-15,-5.708163953362243,-8.25058992126439,-8.030898910368071,-10.526921148947926,-7.808988798351587,-5.462791872083074,-8.468084022051746,-7.584837170052108,-4.198249360761345
-1,-3.408453848516122,-4.711704198482194,-3.408453848516122,-4.711704198482194,-3.937625616930651,-3.937625616930651,-3.937625616930651,-4.711704198482194,-14.853423336387896
25,-0.04324137625817955,-0.14342688748679328,-0.12252487525,-0.0995,-0.00995,-0.0445515,-0.1462996264975,-0.148505,0.0
19,-0.02450497505,-0.059105985,-0.098509975,-0.148505,-0.0292599252995,-0.07351492515,-0.025,-0.292599252995,0.0
23,-0.033967326046505,-0.059105985,-0.169836630232525,-0.2450497505,-0.038627652786039954,-0.11588295835811985,-0.025,-0.19701995,0.0
13,-0.019701995,-0.0877797758985,-0.1462996264975,-0.6123948850051602,-0.033967326046505,-0.12972412877453865,-0.169836630232525,-0.4324137625817955,0.0
1,-0.052330872870641774,-0.2607470642466199,-0.21620688129089774,-0.7427111445256219,-0.02450497505,-0.14342688748679328,-0.12252487525,-0.4780896249559775,0.0
-11,-5.95108231382862,-4.198249360761345,-6.191571490690334,-6.8987056258453405,-9.930847242909584,-6.8987056258453405,-8.030898910368071,-6.665359218025596,-5.462791872083074
-25,-5.462791872083074,-2.8685377497358657,-2.8685377497358657,-2.5944825754907734,-2.8685377497358657,-2.8685377497358657,-2.5944825754907734,-2.317659167162397,-3.408453848516122
-22,-3.674369310030961,-3.674369310030961,-4.198249360761345,-5.95108231382862,-4.198249360761345,-3.139852372238507,-3.674369310030961,-4.711704198482194,-3.408453848516122
-28,-3.139852372238507,-2.8685377497358657,-2.8685377497358657,-4.711704198482194,-4.711704198482194,-2.0380395627903,-1.1821196999999999,-2.8685377497358657,-2.5944825754907734
-27,-2.8685377497358657,-2.8685377497358657,-2.5944825754907734,-3.674369310030961,-2.317659167162397,-2.8685377497358657,-4.198249360761345,-3.937625616930651,-2.5944825754907734
-36,-0.89103,-1.1821196999999999,-2.0380395627903,-0.597,-0.89103,-1.1821196999999999,-1.470298503,-1.470298503,-0.89103
