,"(1, 324)","(3, 324)","(5, 324)","(10, 324)","(1, 3354)","(3, 3354)","(5, 3354)","(10, 3354)","(0, 0)"
20,-0.019701995,-0.101901978139515,-0.23904481247798876,-0.2450497505,-0.0292599252995,-0.059105985,-0.169836630232525,-0.2450497505,0.0
25,-0.005,-0.07351492515,-0.04975,-0.148505,-0.005,-0.015,-0.025,-0.0995,0.0
26,-0.00995,0.0,-0.098509975,-0.05,-0.00995,-0.02985,-0.025,-0.148505,0.0
23,-0.00995,-0.059105985,-0.04975,-0.19701995,-0.0148505,-0.015,-0.04975,-0.148505,0.0
9,-0.005,-0.11588295835811985,-0.098509975,-0.0995,-0.005,-0.0445515,-0.025,-0.05,0.0
13,-0.00995,-0.101901978139515,0.0,-0.148505,-0.00995,-0.059105985,-0.0742525,-0.0995,0.0
6,-0.019701995,-0.059105985,-0.169836630232525,-0.19701995,-0.00995,-0.02985,-0.0742525,-0.148505,0.0
-6,-1.1821196999999999,-1.1821196999999999,-0.89103,-2.5944825754907734,-0.89103,-0.3,-0.597,-1.1821196999999999,-2.5944825754907734
-9,-1.75559551797,0.0,-1.1821196999999999,-0.597,0.0,-0.3,-0.89103,-0.597,-0.597
0,-0.005,-0.02985,-0.098509975,-0.2450497505,-0.0292599252995,-0.0877797758985,-0.098509975,-0.0995,0.0
2,-0.0148505,-0.059105985,-0.04975,-0.19701995,-0.0148505,-0.02985,0.0,-0.0995,0.0
7,-0.00995,-0.0445515,-0.12252487525,-0.148505,-0.02450497505,-0.015,-0.04975,-0.292599252995,0.0
12,-0.0148505,-0.0445515,-0.04975,-0.0995,-0.00995,-0.015,-0.0742525,-0.05,0.0
43,0.0,-0.015,-0.04975,0.0,-0.005,-0.02985,0.0,0.0,0.0
37,0.0,-0.0445515,0.0,0.0,0.0,-0.015,-0.025,0.0,0.0
49,-0.005,0.0,-0.04975,0.0,-0.005,-0.015,-0.025,0.0,0.0
54,-0.597,0.0,-0.3,0.0,0.0,0.0,-0.3,0.0,0.0
59,-0.3,0.0,0.0,-0.3,0.0,0.0,-0.3,0.0,0.0
57,-0.3,0.0,0.0,-0.3,-0.3,0.0,0.0,-0.597,-0.3
68,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0
16,0.0,-0.02985,-0.025,-0.0995,-0.00995,-0.02985,0.0,-0.05,0.0
18,-0.02450497505,0.0,-0.1462996264975,-0.19701995,-0.019701995,-0.02985,-0.025,-0.0995,0.0
21,-0.0148505,-0.015,-0.0742525,-0.0995,-0.005,-0.02985,-0.04975,-0.05,0.0
11,-0.0148505,0.0,0.0,-0.2450497505,0.0,-0.0445515,-0.0742525,-0.0995,0.0
-3,-0.89103,-0.597,-1.1821196999999999,-0.3,-1.1821196999999999,-0.89103,-0.597,-0.89103,-2.5944825754907734
-8,-0.89103,-1.470298503,-0.597,-0.597,-1.1821196999999999,-0.89103,-1.1821196999999999,-0.597,-1.1821196999999999
1,-0.005,-0.015,-0.0742525,-0.05,-0.0148505,-0.0445515,-0.0742525,-0.2450497505,0.0
10,-0.005,0.0,-0.04975,-0.05,-0.005,-0.015,-0.169836630232525,-0.148505,0.0
29,0.0,0.0,-0.025,0.0,-0.00995,0.0,0.0,-0.05,0.0
24,-0.02450497505,0.0,-0.025,0.0,-0.00995,-0.07351492515,-0.04975,0.0,0.0
22,-0.005,-0.02985,0.0,-0.148505,0.0,-0.059105985,-0.025,-0.19701995,0.0
32,-0.00995,0.0,-0.04975,0.0,0.0,-0.015,0.0,0.0,0.0
17,-0.00995,-0.0445515,-0.025,-0.0995,-0.005,0.0,-0.0742525,-0.05,0.0
19,-0.0148505,-0.02985,-0.04975,-0.05,-0.00995,0.0,-0.0742525,-0.0995,0.0
14,-0.005,-0.2355852099241097,-0.025,0.0,-0.02450497505,-0.059105985,-0.04975,-0.0995,0.0
3,-0.0148505,-0.059105985,-0.098509975,-0.05,0.0,-0.02985,-0.025,-0.148505,0.0
31,0.0,-0.02985,0.0,0.0,-0.005,0.0,0.0,-0.05,0.0
39,0.0,0.0,0.0,-0.05,-0.005,-0.015,0.0,-0.05,0.0
36,0.0,-0.02985,-0.025,-0.0995,-0.005,-0.02985,-0.04975,0.0,0.0
42,0.0,0.0,-0.025,-0.05,-0.005,-0.015,-0.04975,-0.148505,0.0
58,0.0,-0.3,-0.3,0.0,0.0,-0.3,0.0,0.0,-0.3
61,0.0,-0.3,0.0,-0.3,0.0,-0.3,-0.3,0.0,0.0
-1,-0.89103,0.0,-0.597,-0.3,-0.89103,-0.3,-1.1821196999999999,-0.597,-2.8685377497358657
