,"(1, 509)","(3, 509)","(5, 509)","(10, 509)","(1, 3354)","(3, 3354)","(5, 3354)","(10, 3354)","(0, 0)"
20,-0.13014981330585979,-0.3564859284793444,-0.6875491601053659,-1.264139528342018,-0.10319285817817224,-0.3214827887891716,-0.650749066529299,-1.338483151728012,0.0
10,-0.00995,-0.059105985,-0.025,-0.148505,-0.019701995,-0.0445515,-0.04975,-0.292599252995,0.0
9,-0.00995,-0.02985,-0.04975,-0.05,-0.0148505,-0.02985,-0.12252487525,0.0,0.0
-1,0.0,0.0,-0.3,-0.3,0.0,0.0,0.0,-0.3,0.0
5,-0.005,0.0,0.0,0.0,-0.00995,-0.015,-0.04975,-0.0995,0.0
7,-0.005,0.0,-0.0742525,0.0,-0.005,-0.015,-0.025,-0.0995,0.0
11,-0.005,-0.015,-0.0742525,-0.0995,-0.02450497505,-0.07351492515,-0.0742525,-0.0995,0.0
46,-0.05680756414193536,-0.18371846550154805,-0.3926420165401828,-0.5680756414193536,-0.047808962495597754,-0.1704226924258061,-0.1462996264975,-0.292599252995,0.0
68,-9.31652742392766,-3.937625616930651,-4.198249360761345,-15.154840211993777,-8.030898910368071,-4.198249360761345,-9.7281285281915,-4.198249360761345,-5.214941284932398
70,-5.214941284932398,-4.711704198482194,-4.456266867153731,-3.937625616930651,-4.964587156497372,-4.456266867153731,-3.937625616930651,-5.214941284932398,-5.462791872083074
80,-2.5944825754907734,-1.75559551797,-2.317659167162397,-1.75559551797,-3.139852372238507,-2.317659167162397,-1.75559551797,-1.75559551797,-1.75559551797
84,-0.89103,-0.3,-1.1821196999999999,-1.470298503,-1.75559551797,-1.1821196999999999,-3.139852372238507,-1.470298503,-0.597
90,-0.597,-1.470298503,-1.1821196999999999,-0.3,-1.1821196999999999,-1.470298503,-0.89103,-0.89103,-0.597
87,-0.89103,-1.470298503,-0.3,-0.597,-1.1821196999999999,-2.317659167162397,-0.597,-0.597,-0.89103
92,-1.1821196999999999,-0.3,-1.1821196999999999,-1.1821196999999999,-0.3,-0.3,-0.597,-0.89103,-0.3
83,-2.5944825754907734,-1.75559551797,-2.0380395627903,-1.75559551797,-2.5944825754907734,-2.5944825754907734,-3.408453848516122,-1.75559551797,-2.5944825754907734
85,-0.89103,-2.317659167162397,-1.75559551797,-0.89103,-0.3,-0.597,-1.470298503,-1.470298503,-1.75559551797
79,-2.5944825754907734,-1.75559551797,-1.1821196999999999,-3.139852372238507,-2.317659167162397,-2.317659167162397,-1.470298503,-1.75559551797,-3.408453848516122
95,-0.89103,-0.3,0.0,-0.3,-1.470298503,-0.3,-0.597,-0.3,-0.3
96,-0.3,-0.89103,-0.3,-0.3,0.0,0.0,-0.3,-0.3,-0.597
15,-0.00995,-0.02985,-0.0742525,-0.19701995,-0.019701995,-0.0445515,-0.0742525,-0.19701995,0.0
19,-0.0148505,-0.15699261861192534,-0.1462996264975,-0.2450497505,-0.019701995,-0.059105985,-0.0742525,-0.0995,0.0
27,-0.0148505,-0.0445515,-0.04975,-0.05,-0.019701995,-0.02985,-0.098509975,-0.05,0.0
39,-0.0292599252995,-0.12972412877453865,-0.12252487525,-0.148505,-0.02450497505,-0.12972412877453865,-0.169836630232525,-0.19701995,0.0
50,-0.08691568808220664,-0.20991246803806723,-0.4756803294468536,-0.5233087287064178,-0.06562709361551085,-0.19688128084653256,-0.4959235261523851,-0.4324137625817955,0.0
61,-5.708163953362243,-4.198249360761345,-6.191571490690334,-4.964587156497372,-5.462791872083074,-5.95108231382862,-7.584837170052108,-4.964587156497372,-8.25058992126439
69,-3.937625616930651,-5.214941284932398,-6.429655775783431,-4.964587156497372,-4.964587156497372,-4.711704198482194,-5.462791872083074,-4.964587156497372,-3.674369310030961
89,-1.470298503,-0.3,-0.89103,-0.3,-1.1821196999999999,-0.89103,-1.470298503,-0.89103,-0.89103
100,-0.3,-0.597,-0.597,-0.597,0.0,0.0,0.0,-0.597,-0.3
91,-0.597,-0.597,-0.89103,-1.470298503,-0.597,-0.89103,-0.597,-1.470298503,-0.3
94,-0.89103,-1.75559551797,-0.597,-0.89103,-0.3,-0.3,-0.597,0.0,-0.597
93,-0.3,-1.1821196999999999,-0.597,-0.89103,-0.89103,-0.3,-0.597,-0.3,-0.3
86,-1.470298503,-1.470298503,-1.470298503,-0.597,-0.597,-0.597,-2.0380395627903,-0.89103,-1.1821196999999999
76,-1.470298503,-2.8685377497358657,-2.5944825754907734,-2.317659167162397,-3.408453848516122,-2.0380395627903,-3.674369310030961,-3.139852372238507,-3.937625616930651
77,-2.8685377497358657,-3.937625616930651,-2.8685377497358657,-2.317659167162397,-2.0380395627903,-2.317659167162397,-3.408453848516122,-3.139852372238507,-2.0380395627903
72,-5.95108231382862,-3.937625616930651,-4.198249360761345,-3.937625616930651,-4.198249360761345,-3.937625616930651,-4.456266867153731,-4.198249360761345,-4.711704198482194
73,-3.674369310030961,-3.408453848516122,-4.964587156497372,-3.408453848516122,-6.8987056258453405,-3.408453848516122,-2.8685377497358657,-4.456266867153731,-3.408453848516122
4,-0.005,-0.015,-0.025,0.0,-0.005,-0.015,-0.04975,-0.0995,0.0
13,-0.00995,-0.0445515,-0.025,-0.148505,-0.005,0.0,-0.025,-0.0995,0.0
36,-0.0292599252995,-0.0445515,-0.025,-0.148505,-0.005,-0.059105985,-0.0742525,-0.19701995,0.0
52,-5.214941284932398,-6.8987056258453405,-4.711704198482194,-4.711704198482194,-5.214941284932398,-6.429655775783431,-4.456266867153731,-4.964587156497372,-14.545886477285885
55,-3.674369310030961,-4.711704198482194,-8.468084022051746,-4.198249360761345,-4.711704198482194,-6.665359218025596,-4.711704198482194,-5.708163953362243,-21.877372214640157
58,-7.129718569586887,-7.808988798351587,-5.462791872083074,-5.462791872083074,-5.95108231382862,-5.462791872083074,-5.708163953362243,-8.25058992126439,-14.545886477285885
62,-7.584837170052108,-5.214941284932398,-5.708163953362243,-5.462791872083074,-7.584837170052108,-5.214941284932398,-4.711704198482194,-6.429655775783431,-5.708163953362243
71,-7.808988798351587,-3.937625616930651,-5.214941284932398,-4.964587156497372,-3.674369310030961,-4.964587156497372,-6.429655775783431,-3.408453848516122,-3.937625616930651
65,-5.214941284932398,-6.191571490690334,-4.198249360761345,-4.198249360761345,-5.462791872083074,-5.462791872083074,-6.191571490690334,-3.937625616930651,-8.030898910368071
64,-6.191571490690334,-5.214941284932398,-5.708163953362243,-4.198249360761345,-3.674369310030961,-4.964587156497372,-3.674369310030961,-4.456266867153731,-7.584837170052108
67,-6.191571490690334,-4.964587156497372,-4.711704198482194,-7.358421383891018,-3.937625616930651,-3.408453848516122,-4.711704198482194,-5.708163953362243,-5.462791872083074
51,-5.708163953362243,-4.964587156497372,-5.462791872083074,-5.95108231382862,-4.964587156497372,-5.214941284932398,-6.191571490690334,-5.462791872083074,-16.438690492005723
42,-0.0292599252995,-0.11588295835811985,-0.0742525,-0.292599252995,-0.0292599252995,-0.11588295835811985,-0.2840378207096768,-0.38627652786039945,0.0
37,-0.02450497505,-0.0445515,-0.19313826393019973,-0.19701995,-0.00995,-0.059105985,-0.1462996264975,-0.148505,0.0
26,-0.00995,-0.07351492515,-0.04975,-0.148505,-0.00995,-0.0445515,-0.025,-0.0995,0.0
23,-0.0148505,-0.12972412877453865,-0.04975,-0.148505,-0.0292599252995,-0.0877797758985,-0.0742525,-0.0995,0.0
22,-0.0148505,-0.015,-0.04975,-0.19701995,-0.005,-0.07351492515,-0.1462996264975,-0.148505,0.0
34,-0.005,-0.0445515,-0.0742525,-0.2450497505,-0.02450497505,-0.059105985,-0.1462996264975,-0.0995,0.0
53,-5.95108231382862,-5.462791872083074,-6.191571490690334,-5.708163953362243,-5.708163953362243,-5.708163953362243,-6.191571490690334,-4.964587156497372,-12.388896541875457
