,"(1, 324)","(3, 324)","(5, 324)","(10, 324)","(1, 509)","(3, 509)","(5, 509)","(10, 509)","(0, 0)"
20,-0.061239488500516005,-0.2355852099241097,-0.413715596374781,-0.4780896249559775,-0.047808962495597754,-0.15699261861192534,-0.2840378207096768,-0.7852840330803657,0.0
17,-0.019701995,-0.02985,-0.12252487525,-0.148505,-0.005,-0.015,-0.21620688129089774,-0.292599252995,0.0
7,-0.02450497505,-0.0877797758985,-0.0742525,-0.148505,-0.033967326046505,-0.059105985,-0.04975,-0.148505,0.0
12,-0.0148505,-0.0445515,-0.0742525,-0.148505,-0.00995,-0.02985,-0.025,-0.33967326046505,0.0
2,-0.0148505,-0.07351492515,-0.21620688129089774,-0.292599252995,-0.019701995,-0.07351492515,-0.025,-0.148505,0.0
6,-0.005,0.0,-0.098509975,-0.148505,-0.00995,-0.0445515,-0.025,-0.148505,0.0
-1,-0.89103,-0.597,-1.470298503,-0.3,-1.1821196999999999,-0.597,-0.89103,-0.3,-3.937625616930651
-8,-0.3,-1.470298503,-0.597,0.0,-0.89103,-0.89103,-0.89103,0.0,-2.0380395627903
-7,-1.1821196999999999,-0.3,-1.1821196999999999,-0.597,-2.317659167162397,-0.89103,-0.597,-1.1821196999999999,-1.470298503
-11,-0.89103,-0.597,-0.3,-1.1821196999999999,0.0,-0.597,-1.470298503,0.0,-1.470298503
-10,-0.597,-0.3,-0.597,-0.597,-1.1821196999999999,-0.89103,-1.1821196999999999,-1.1821196999999999,-0.89103
-3,-1.470298503,-1.75559551797,-1.470298503,-0.597,-1.1821196999999999,-0.89103,-0.597,-1.470298503,-2.8685377497358657
-9,-0.597,-0.89103,-0.597,-0.597,-0.3,-1.470298503,0.0,-1.75559551797,-1.1821196999999999
-6,-2.317659167162397,-1.1821196999999999,-0.597,-2.0380395627903,-0.597,-0.89103,-1.1821196999999999,-1.1821196999999999,-0.89103
1,-0.005,-0.0445515,-0.025,-0.0995,-0.005,-0.0445515,-0.0742525,-0.19701995,0.0
-4,-1.1821196999999999,-1.470298503,-0.597,-0.597,-0.597,0.0,-1.75559551797,-0.89103,-1.470298503
5,-0.019701995,-0.02985,-0.098509975,-0.19701995,-0.00995,-0.015,-0.04975,-0.148505,0.0
21,-0.00995,-0.0445515,-0.098509975,-0.05,-0.0148505,-0.07351492515,-0.098509975,-0.292599252995,0.0
23,-0.0148505,-0.059105985,-0.025,-0.05,-0.02450497505,-0.07351492515,-0.04975,-0.148505,0.0
13,-0.005,-0.07351492515,-0.098509975,-0.148505,-0.019701995,-0.11588295835811985,-0.025,-0.0995,0.0
15,-0.02450497505,-0.0445515,-0.0742525,-0.19701995,-0.0148505,-0.0445515,-0.0742525,-0.0995,0.0
10,-0.019701995,-0.059105985,-0.04975,-0.0995,-0.02450497505,-0.02985,-0.12252487525,-0.148505,0.0
-16,-0.3,0.0,-0.597,-0.597,-0.3,-0.89103,-1.1821196999999999,-0.3,-0.597
-27,-0.597,-0.3,-0.597,-0.3,-0.89103,-0.89103,-0.3,-0.3,-0.3
-21,-0.597,-0.597,-0.597,-0.3,-1.1821196999999999,-0.89103,-1.470298503,-0.89103,-1.1821196999999999
