32420, 20, 20, 20, 20, 20, 21, 26, 45, 57, 70, 61, 61, 65, 72, 70, 68, 68, 58, 56, 58, 47, 44, 48
50920, 20, 20, 20, 20, 18, 14, 7, -5, -4, -16, -8, -2, -6, -15, -6, 0, -2, 13, 0, 3, 18, 17, 22
335420, 20, 20, 20, 20, 20, 20, 16, 15, 11, 5, 3, -3, -2, -3, 6, 6, 12, 21, 26, 23, 21, 22, 23
32420, 20, 20, 20, 20, 20, 21, 24, 33, 55, 68, 67, 63, 60, 59, 49, 45, 48, 48, 43, 48, 47, 47, 49
50920, 20, 20, 20, 20, 18, 14, 8, 6, 7, -2, -3, -4, -4, -4, 7, 27, 25, 35, 32, 32, 37, 33, 41
335420, 20, 20, 20, 20, 20, 20, 17, 16, 2, -7, -8, -3, 1, -1, 14, 2, 5, 9, 7, 4, 2, 3, 3
32420, 20, 20, 20, 20, 20, 31, 34, 42, 64, 78, 68, 64, 63, 67, 67, 59, 67, 66, 56, 46, 47, 47, 49
50920, 20, 20, 20, 20, 18, 4, -2, -4, -18, -28, -19, -16, -21, -30, -18, -9, -21, -11, -9, 5, 5, 1, 9
335420, 20, 20, 20, 20, 20, 20, 17, 17, 18, 9, 7, 8, 15, 17, 21, 24, 32, 37, 35, 33, 34, 35, 35
32420, 20, 20, 20, 20, 21, 22, 24, 33, 55, 68, 68, 61, 61, 62, 66, 62, 60, 60, 45, 40, 38, 38, 45
50920, 20, 20, 20, 20, 17, 13, 7, 5, -4, -13, -14, -6, -6, -13, -6, 1, 4, 19, 16, 21, 27, 23, 26
335420, 20, 20, 20, 20, 20, 20, 18, 17, 13, 4, 2, 1, 2, 5, 10, 11, 14, 13, 21, 23, 21, 22, 22
32420, 20, 20, 20, 20, 20, 21, 24, 33, 52, 65, 65, 58, 56, 57, 54, 47, 54, 59, 54, 53, 51, 41, 42
50920, 20, 20, 20, 20, 18, 14, 8, 6, -3, -12, -13, -12, -12, -19, -7, 1, -5, 10, 7, 12, 18, 24, 33
335420, 20, 20, 20, 20, 20, 20, 17, 16, 15, 6, 4, 10, 13, 16, 23, 26, 29, 23, 21, 19, 17, 18, 18
32420, 20, 20, 20, 20, 20, 24, 27, 36, 58, 71, 61, 49, 49, 51, 51, 44, 47, 57, 60, 62, 63, 73, 84
50920, 20, 20, 20, 20, 18, 14, 8, 6, -3, -2, 2, 6, 9, 5, 22, 38, 36, 50, 44, 49, 52, 43, 45
335420, 20, 20, 20, 20, 20, 17, 14, 13, 9, -10, -7, 1, -1, -2, -3, -8, -5, -15, -22, -27, -29, -33, -36
32420, 20, 20, 20, 20, 20, 21, 24, 33, 55, 68, 68, 63, 53, 57, 66, 52, 50, 50, 47, 47, 51, 56, 58
50920, 20, 20, 20, 20, 18, 14, 8, 6, -3, -12, -13, -14, -17, -23, -20, -10, -17, -12, -18, -22, -13, -20, -15
335420, 20, 20, 20, 20, 20, 20, 17, 16, 12, 3, 1, 7, 21, 20, 24, 32, 45, 54, 53, 59, 48, 47, 50
32420, 20, 20, 20, 20, 20, 21, 24, 33, 55, 68, 64, 67, 57, 54, 51, 56, 58, 53, 39, 34, 33, 33, 30
50920, 20, 20, 20, 20, 18, 14, 8, 6, -3, -12, -11, -17, -17, -21, -14, -13, -15, 5, 1, 6, 11, 7, 18
335420, 20, 20, 20, 20, 20, 20, 17, 16, 12, 3, 3, 6, 17, 21, 33, 31, 35, 34, 42, 44, 42, 43, 45
32420, 20, 20, 20, 20, 10, 11, 14, 23, 45, 58, 68, 65, 65, 69, 72, 63, 56, 56, 56, 55, 51, 51, 46
50920, 20, 20, 20, 20, 18, 14, 11, 9, 0, -9, -10, -6, -5, -11, 0, 18, 27, 45, 42, 48, 57, 53, 61
335420, 20, 20, 20, 20, 30, 30, 24, 23, 19, 10, -2, -3, -3, -4, -2, -7, -5, -9, -16, -19, -22, -21, -14
32420, 20, 20, 20, 20, 20, 21, 24, 33, 55, 73, 68, 67, 66, 61, 56, 55, 48, 43, 38, 37, 36, 36, 38
50920, 20, 20, 20, 20, 18, 14, 8, 6, -3, -17, -23, -24, -27, -24, -12, -5, -8, 9, 5, 10, 15, 11, 14
335420, 20, 20, 20, 20, 20, 20, 17, 16, 12, 3, 11, 13, 18, 17, 26, 24, 38, 40, 39, 37, 35, 36, 41
