,"(1, 324)","(3, 324)","(5, 324)","(10, 324)","(1, 3354)","(3, 3354)","(5, 3354)","(10, 3354)","(0, 0)"
20,-0.09513606588937072,-0.18371846550154805,-0.3926420165401828,-0.7427111445256219,-0.0827431192749562,-0.22281334335768657,-0.3281354680775543,-0.7852840330803657,0.0
35,-0.0292599252995,-0.015,-0.025,-0.0995,-0.005,-0.02985,-0.0742525,-0.148505,0.0
32,-0.019701995,-0.02985,-0.04975,-0.2450497505,-0.0148505,-0.015,-0.025,-0.148505,0.0
33,-0.00995,-0.02985,-0.098509975,-0.0995,-0.02450497505,-0.015,0.0,-0.05,0.0
26,-0.019701995,-0.015,-0.04975,-0.148505,-0.019701995,-0.015,-0.098509975,-0.05,0.0
22,-0.005,-0.015,-0.04975,-0.2450497505,-0.005,-0.015,-0.04975,-0.05,0.0
11,-0.00995,-0.059105985,-0.12252487525,-0.292599252995,-0.033967326046505,-0.07351492515,-0.098509975,-0.2450497505,0.0
6,-0.0292599252995,-0.059105985,-0.025,-0.148505,-0.0292599252995,-0.059105985,-0.098509975,-0.292599252995,0.0
0,-0.019701995,-0.07351492515,-0.3061974425025801,-0.2450497505,-0.06997082267935574,-0.11588295835811985,-0.098509975,-0.38627652786039945,0.0
7,-0.047808962495597754,-0.02985,-0.1462996264975,-0.19701995,-0.038627652786039954,-0.11588295835811985,-0.12252487525,-0.4780896249559775,0.0
12,-0.005,-0.07351492515,-0.12252487525,-0.292599252995,-0.019701995,-0.0445515,-0.0742525,-0.38627652786039945,0.0
13,-0.033967326046505,-0.0445515,-0.04975,-0.33967326046505,-0.052330872870641774,-0.015,-0.04975,-0.2450497505,0.0
16,-0.0148505,-0.015,-0.04975,-0.148505,-0.005,-0.07351492515,-0.025,-0.19701995,0.0
27,0.0,-0.0445515,-0.04975,0.0,-0.0148505,-0.0877797758985,-0.098509975,-0.05,0.0
43,-0.00995,-0.059105985,-0.04975,-0.05,-0.0148505,0.0,-0.1462996264975,-0.148505,0.0
40,0.0,-0.0445515,-0.0742525,-0.0995,0.0,-0.0445515,0.0,-0.0995,0.0
50,-0.005,0.0,0.0,-0.05,-0.0148505,-0.015,-0.04975,0.0,0.0
54,-0.89103,-0.3,-0.597,-0.89103,0.0,-0.597,-0.597,-0.3,-0.597
45,-0.0148505,-0.015,-0.04975,-0.0995,-0.0148505,-0.015,-0.025,-0.05,0.0
53,-1.1821196999999999,-0.3,0.0,-0.597,-0.3,-0.3,-0.597,-0.3,-2.317659167162397
1,-0.019701995,-0.18371846550154805,-0.2616543643532089,-0.4324137625817955,-0.033967326046505,-0.14342688748679328,-0.0742525,-0.5680756414193536,0.0
-6,-3.674369310030961,-3.674369310030961,-2.317659167162397,-2.8685377497358657,-4.198249360761345,-2.5944825754907734,-2.5944825754907734,-2.5944825754907734,-8.468084022051746
-15,-3.408453848516122,-3.139852372238507,-5.214941284932398,-3.408453848516122,-2.8685377497358657,-3.408453848516122,-4.456266867153731,-3.139852372238507,-1.470298503
-16,-4.964587156497372,-2.0380395627903,-3.937625616930651,-3.937625616930651,-1.470298503,-2.5944825754907734,-2.8685377497358657,-3.674369310030961,-2.0380395627903
-21,-2.5944825754907734,-1.75559551797,-3.408453848516122,-2.0380395627903,-2.8685377497358657,-3.408453848516122,-2.317659167162397,-2.0380395627903,-3.937625616930651
-29,-4.198249360761345,-1.75559551797,-0.89103,-0.3,-2.8685377497358657,-0.597,-2.0380395627903,-0.89103,-1.75559551797
-39,-0.3,0.0,-0.3,0.0,-0.3,-1.470298503,-0.597,-0.597,-0.3
-42,-0.89103,-0.597,0.0,-0.597,-0.597,-0.597,-0.89103,-0.597,-0.3
-33,-1.1821196999999999,-2.317659167162397,-2.0380395627903,-1.1821196999999999,-1.1821196999999999,-1.470298503,-1.75559551797,-0.597,-0.597
-45,0.0,-0.3,-0.597,-0.3,-0.3,-0.597,-0.3,-0.3,-0.89103
-20,-4.711704198482194,-4.964587156497372,-3.674369310030961,-3.674369310030961,-3.408453848516122,-2.317659167162397,-3.937625616930651,-3.674369310030961,-2.5944825754907734
4,-0.038627652786039954,-0.059105985,-0.12252487525,-0.2450497505,-0.04324137625817955,-0.0877797758985,-0.19313826393019973,-0.4780896249559775,0.0
-8,-4.456266867153731,-5.214941284932398,-3.139852372238507,-3.408453848516122,-3.674369310030961,-3.674369310030961,-3.937625616930651,-2.8685377497358657,-7.358421383891018
15,-0.0292599252995,-0.0877797758985,-0.169836630232525,-0.0995,-0.033967326046505,-0.0445515,-0.0742525,-0.19701995,0.0
25,-0.00995,-0.02985,-0.0742525,-0.33967326046505,-0.0148505,-0.02985,-0.025,-0.19701995,0.0
24,-0.019701995,-0.059105985,-0.025,-0.19701995,-0.005,-0.0445515,-0.0742525,-0.19701995,0.0
17,-0.00995,-0.059105985,-0.0742525,-0.148505,-0.0292599252995,-0.0445515,-0.025,-0.148505,0.0
10,-0.02450497505,-0.02985,-0.1462996264975,-0.05,-0.04324137625817955,-0.02985,-0.1462996264975,-0.2450497505,0.0
-1,-2.317659167162397,-2.317659167162397,-2.8685377497358657,-2.5944825754907734,-1.75559551797,-2.8685377497358657,-1.75559551797,-1.75559551797,-12.211006607955007
-24,-1.470298503,-2.0380395627903,-2.317659167162397,-1.75559551797,-1.75559551797,-3.139852372238507,-2.5944825754907734,-1.470298503,-2.317659167162397
-27,-2.0380395627903,-2.0380395627903,-2.5944825754907734,-1.75559551797,-1.470298503,-1.470298503,-1.470298503,-1.470298503,-2.0380395627903
-28,-1.75559551797,-1.470298503,-2.0380395627903,-1.75559551797,-1.75559551797,-2.0380395627903,-1.470298503,-1.75559551797,-1.75559551797
-18,-4.964587156497372,-3.139852372238507,-2.5944825754907734,-3.139852372238507,-3.139852372238507,-4.198249360761345,-2.8685377497358657,-4.711704198482194,-2.5944825754907734
-14,-3.139852372238507,-4.198249360761345,-2.8685377497358657,-3.139852372238507,-3.937625616930651,-3.674369310030961,-3.139852372238507,-3.674369310030961,-3.139852372238507
19,-0.02450497505,-0.07351492515,-0.0742525,-0.0995,-0.005,-0.0877797758985,-0.098509975,-0.2450497505,0.0
34,-0.019701995,-0.015,-0.025,-0.05,-0.0148505,-0.015,-0.098509975,-0.0995,0.0
30,-0.00995,-0.02985,-0.025,-0.05,-0.02450497505,-0.015,-0.169836630232525,-0.148505,0.0
42,-0.005,-0.015,-0.025,-0.19701995,0.0,0.0,-0.04975,-0.19701995,0.0
37,-0.005,-0.02985,-0.04975,-0.0995,-0.005,-0.0445515,-0.025,-0.05,0.0
41,-0.00995,-0.0445515,-0.0742525,-0.0995,0.0,-0.015,-0.0742525,-0.0995,0.0
21,-0.019701995,-0.015,-0.12252487525,-0.0995,-0.02450497505,-0.0445515,-0.04975,-0.292599252995,0.0
23,-0.033967326046505,-0.059105985,-0.0742525,-0.33967326046505,-0.0148505,-0.07351492515,-0.04975,-0.148505,0.0
18,-0.02450497505,-0.07351492515,-0.1462996264975,-0.0995,-0.047808962495597754,-0.02985,-0.169836630232525,-0.2450497505,0.0
14,-0.052330872870641774,-0.12972412877453865,-0.0742525,-0.292599252995,-0.047808962495597754,-0.059105985,-0.21620688129089774,-0.19701995,0.0
44,-0.005,-0.059105985,-0.025,-0.2450497505,-0.00995,-0.015,-0.0742525,-0.05,0.0
67,-0.597,-0.3,-0.3,0.0,0.0,-0.3,-0.3,-0.3,0.0
69,0.0,0.0,-1.1821196999999999,-0.89103,-0.3,0.0,0.0,0.0,-0.597
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3
92,0.0,0.0,0.0,0.0,-0.3,0.0,-0.3,0.0,0.0
88,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,-0.3,0.0
89,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-0.0148505,0.0,-0.04975,-0.05,-0.005,-0.015,-0.19313826393019973,-0.33967326046505,0.0
39,0.0,-0.0445515,-0.025,-0.05,-0.0148505,-0.0445515,-0.04975,-0.05,0.0
48,-0.0148505,0.0,-0.098509975,-0.19701995,-0.0148505,-0.015,-0.098509975,-0.148505,0.0
8,-0.019701995,-0.07351492515,-0.21620688129089774,-0.4780896249559775,-0.019701995,-0.07351492515,-0.1462996264975,-0.8691568808220664,0.0
3,-0.04324137625817955,-0.14342688748679328,-0.12252487525,-0.2450497505,-0.047808962495597754,-0.101901978139515,-0.098509975,-0.33967326046505,0.0
-10,-2.8685377497358657,-2.5944825754907734,-3.937625616930651,-2.5944825754907734,-4.198249360761345,-4.964587156497372,-3.408453848516122,-3.937625616930651,-4.964587156497372
-22,-3.674369310030961,-1.470298503,-2.0380395627903,-2.8685377497358657,-2.0380395627903,-2.0380395627903,-1.75559551797,-1.75559551797,-1.1821196999999999
-23,-8.68340318183123,-2.0380395627903,-1.75559551797,-2.317659167162397,-1.75559551797,-3.937625616930651,-2.0380395627903,-2.8685377497358657,-3.674369310030961
-7,-3.937625616930651,-2.5944825754907734,-3.139852372238507,-3.937625616930651,-3.139852372238507,-2.8685377497358657,-3.674369310030961,-5.462791872083074,-9.107603458512788
5,-0.0148505,-0.0877797758985,-0.169836630232525,-0.4780896249559775,-0.033967326046505,-0.12972412877453865,-0.1462996264975,-0.19701995,0.0
9,-0.00995,-0.12972412877453865,-0.169836630232525,-0.19701995,-0.0148505,-0.07351492515,-0.098509975,-0.4324137625817955,0.0
-2,-2.5944825754907734,-3.937625616930651,-2.8685377497358657,-3.937625616930651,-1.1821196999999999,-2.8685377497358657,-2.0380395627903,-3.408453848516122,-15.59575630285735
-5,-3.139852372238507,-3.674369310030961,-2.8685377497358657,-2.317659167162397,-1.470298503,-3.674369310030961,-2.317659167162397,-5.214941284932398,-9.31652742392766
-9,-2.317659167162397,-3.139852372238507,-4.198249360761345,-3.408453848516122,-3.139852372238507,-2.8685377497358657,-3.674369310030961,-3.139852372238507,-5.95108231382862
-19,-3.139852372238507,-3.937625616930651,-2.0380395627903,-3.937625616930651,-3.139852372238507,-2.8685377497358657,-3.408453848516122,-1.75559551797,-4.198249360761345
-26,-1.470298503,-1.75559551797,-2.317659167162397,-2.317659167162397,-1.75559551797,-3.139852372238507,-2.5944825754907734,-1.75559551797,-2.0380395627903
-31,-1.75559551797,-1.75559551797,-1.470298503,-0.89103,-1.470298503,-2.317659167162397,-1.1821196999999999,-1.75559551797,-1.470298503
-4,-5.708163953362243,-2.317659167162397,-3.674369310030961,-2.5944825754907734,-2.8685377497358657,-2.317659167162397,-3.674369310030961,-2.5944825754907734,-12.388896541875457
38,-0.005,-0.015,-0.025,-0.2450497505,-0.0148505,-0.0445515,0.0,-0.05,0.0
-3,-2.8685377497358657,-3.408453848516122,-4.711704198482194,-1.470298503,-4.456266867153731,-2.8685377497358657,-1.75559551797,-2.5944825754907734,-18.33648245777318
58,-0.3,-0.3,-0.597,0.0,-0.3,-0.3,-0.3,-0.3,-0.597
55,-0.3,-0.89103,-0.597,0.0,-0.89103,-1.75559551797,-1.1821196999999999,-0.89103,-0.89103
-11,-5.462791872083074,-4.711704198482194,-2.8685377497358657,-3.674369310030961,-5.708163953362243,-3.139852372238507,-2.5944825754907734,-3.139852372238507,-3.937625616930651
-35,-0.3,-0.89103,-0.597,-1.1821196999999999,-1.1821196999999999,-0.597,-0.3,-0.597,-0.597
2,-0.0148505,-0.1704226924258061,-0.12252487525,-0.292599252995,-0.02450497505,-0.0877797758985,-0.1462996264975,-0.2450497505,0.0
29,-0.005,-0.02985,-0.025,-0.05,-0.019701995,-0.02985,-0.098509975,-0.0995,0.0
65,-1.1821196999999999,-0.89103,0.0,-0.89103,-0.3,-0.597,0.0,-0.3,-0.597
61,0.0,-1.470298503,0.0,-0.89103,-0.3,0.0,-0.89103,0.0,-0.597
78,-0.3,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-0.0148505,-0.015,-0.04975,-0.05,-0.005,-0.07351492515,-0.025,-0.05,0.0
57,-0.89103,0.0,-0.3,-0.89103,-0.3,-0.3,0.0,-0.597,-0.89103
72,-0.3,0.0,0.0,0.0,-0.3,-0.597,0.0,-0.3,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3
94,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,-0.3,0.0,0.0,-0.3,0.0,0.0
103,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0
-13,-5.708163953362243,-3.937625616930651,-4.198249360761345,-7.129718569586887,-3.674369310030961,-3.139852372238507,-3.937625616930651,-5.462791872083074,-4.456266867153731
-30,-2.0380395627903,-0.89103,0.0,-0.89103,-1.470298503,-0.89103,-1.75559551797,-0.597,-2.0380395627903
-34,-1.75559551797,-0.89103,-0.597,-2.317659167162397,-1.1821196999999999,-0.597,-0.89103,-1.470298503,-0.89103
-36,-1.470298503,-1.75559551797,-0.89103,-1.470298503,-0.89103,-0.597,-0.3,-1.1821196999999999,-0.3
-17,-4.198249360761345,-3.674369310030961,-2.5944825754907734,-2.5944825754907734,-2.5944825754907734,-6.429655775783431,-2.0380395627903,-2.8685377497358657,-2.5944825754907734
-25,-1.470298503,-1.75559551797,-1.75559551797,-0.89103,-2.317659167162397,-1.75559551797,-2.5944825754907734,-2.0380395627903,-1.75559551797
-32,-0.89103,-0.597,-1.1821196999999999,-2.0380395627903,-1.1821196999999999,-2.0380395627903,-2.5944825754907734,-1.470298503,-1.1821196999999999
