,"(1, 324)","(3, 324)","(5, 324)","(10, 324)","(1, 509)","(3, 509)","(5, 509)","(10, 509)","(0, 0)"
20,-0.052330872870641774,-0.1704226924258061,-0.3281354680775543,-0.6997082267935575,-0.0827431192749562,-0.27313959360415374,-0.4345784404110332,-0.6123948850051602,0.0
15,-0.0148505,-0.059105985,-0.098509975,-0.05,-0.005,-0.07351492515,-0.098509975,-0.2450497505,0.0
14,-0.00995,-0.059105985,-0.0742525,-0.0995,-0.038627652786039954,-0.101901978139515,-0.04975,-0.148505,0.0
17,-0.02450497505,-0.07351492515,-0.169836630232525,-0.148505,-0.019701995,-0.14342688748679328,-0.2616543643532089,-0.19701995,0.0
24,-0.0148505,-0.07351492515,-0.1462996264975,-0.33967326046505,-0.033967326046505,-0.0445515,-0.04975,-0.19701995,0.0
29,-0.019701995,-0.0445515,-0.04975,-0.19701995,-0.0148505,-0.101901978139515,-0.04975,-0.19701995,0.0
18,-0.0148505,-0.0445515,-0.025,-0.19701995,-0.0292599252995,-0.0445515,-0.04975,-0.148505,0.0
23,-0.0148505,-0.07351492515,-0.169836630232525,-0.0995,-0.033967326046505,-0.02985,-0.0742525,-0.0995,0.0
10,-0.019701995,-0.059105985,-0.1462996264975,-0.19701995,-0.0148505,-0.0445515,-0.098509975,-0.19701995,0.0
3,-0.0148505,-0.0445515,-0.2616543643532089,-0.33967326046505,-0.02450497505,-0.015,-0.0742525,-0.19701995,0.0
4,-0.02450497505,-0.059105985,-0.12252487525,-0.0995,-0.019701995,-0.0877797758985,-0.169836630232525,-0.0995,0.0
5,-0.00995,-0.0445515,-0.025,-0.05,-0.0292599252995,-0.059105985,-0.12252487525,-0.148505,0.0
1,-0.019701995,-0.07351492515,-0.04975,-0.2450497505,-0.005,-0.07351492515,-0.169836630232525,-0.0995,0.0
9,-0.005,-0.015,-0.0742525,-0.19701995,-0.02450497505,-0.059105985,-0.098509975,-0.148505,0.0
7,-0.0148505,-0.02985,-0.12252487525,-0.33967326046505,-0.0148505,-0.059105985,-0.098509975,-0.0995,0.0
12,-0.0148505,-0.02985,-0.04975,-0.0995,-0.00995,-0.11588295835811985,-0.098509975,-0.148505,0.0
22,-0.02450497505,-0.02985,-0.098509975,-0.33967326046505,-0.00995,-0.0877797758985,-0.12252487525,-0.0995,0.0
16,-0.0148505,-0.02985,-0.04975,-0.292599252995,-0.033967326046505,-0.02985,-0.12252487525,-0.0995,0.0
-4,-0.597,-0.597,-1.1821196999999999,-1.1821196999999999,-0.597,-0.89103,-2.317659167162397,-0.89103,-2.317659167162397
-16,-1.75559551797,-0.3,-1.75559551797,-1.470298503,-0.3,-1.1821196999999999,0.0,-0.597,0.0
-25,-1.1821196999999999,-0.3,-1.75559551797,0.0,-0.597,-0.3,0.0,0.0,-0.3
-17,-0.597,-0.89103,-0.597,-0.89103,-0.597,-0.3,-0.3,-0.3,-0.597
-19,-0.89103,-0.3,-1.1821196999999999,-0.3,-1.470298503,-0.597,-0.89103,-2.0380395627903,-0.89103
-21,-0.3,-0.89103,-0.89103,-1.1821196999999999,0.0,-0.89103,-0.597,-0.3,-1.1821196999999999
-24,-0.3,0.0,-0.597,-1.1821196999999999,-0.597,0.0,-1.470298503,-0.597,-1.1821196999999999
-36,-0.3,-0.597,-0.3,-0.3,-0.89103,-0.597,-0.597,-1.1821196999999999,-0.3
-39,-0.597,-0.89103,-0.3,0.0,0.0,0.0,-0.3,0.0,-0.597
-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.3
-28,-0.3,-0.89103,0.0,-0.597,-0.89103,-0.89103,0.0,-0.3,-0.3
-12,-0.597,-1.1821196999999999,-0.597,-1.1821196999999999,-0.89103,-1.1821196999999999,-1.75559551797,-1.470298503,-0.597
26,-0.00995,-0.07351492515,-0.04975,-0.292599252995,-0.033967326046505,-0.0445515,-0.025,-0.0995,0.0
30,-0.02450497505,-0.07351492515,-0.098509975,-0.148505,-0.02450497505,-0.11588295835811985,-0.0742525,-0.2450497505,0.0
