,"(1, 509)","(3, 509)","(5, 509)","(10, 509)","(1, 3354)","(3, 3354)","(5, 3354)","(10, 3354)","(0, 0)"
20,-0.04324137625817955,-0.15699261861192534,-0.3281354680775543,-0.4780896249559775,-0.05680756414193536,-0.18371846550154805,-0.1462996264975,-0.33967326046505,0.0
28,-0.019701995,-0.0445515,-0.025,-0.0995,-0.00995,-0.015,-0.04975,-0.0995,0.0
47,-0.02450497505,-0.059105985,-0.12252487525,-0.292599252995,-0.038627652786039954,-0.059105985,-0.098509975,-0.19701995,0.0
48,-0.0292599252995,-0.12972412877453865,-0.04975,-0.33967326046505,-0.019701995,-0.0445515,-0.0742525,-0.4324137625817955,0.0
55,-2.0380395627903,-2.0380395627903,-2.0380395627903,-3.139852372238507,-1.75559551797,-2.317659167162397,-2.0380395627903,-2.8685377497358657,-8.030898910368071
83,-0.3,-1.470298503,-0.3,-1.1821196999999999,-0.597,-0.597,-0.89103,-0.3,-0.597
95,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,-0.3,0.0
85,-0.597,-1.1821196999999999,-0.3,0.0,-0.3,-0.597,-0.3,-0.597,-0.89103
90,-0.597,-0.597,-0.597,-0.597,-0.597,-0.3,0.0,-0.89103,-0.3
89,-1.1821196999999999,-0.3,0.0,0.0,0.0,-0.597,0.0,0.0,0.0
88,-0.3,-0.3,-0.597,-0.3,-0.3,0.0,0.0,-0.3,0.0
81,-0.3,-0.597,0.0,-0.3,-0.89103,-1.1821196999999999,0.0,-0.3,-0.89103
80,-0.597,-0.3,-0.597,-0.89103,-0.3,0.0,-0.597,-1.1821196999999999,-0.3
71,-1.1821196999999999,-1.75559551797,-1.1821196999999999,-2.0380395627903,-1.470298503,-1.470298503,-1.470298503,-2.0380395627903,-1.75559551797
69,-0.89103,-1.1821196999999999,-1.1821196999999999,-1.75559551797,-2.5944825754907734,-3.139852372238507,-1.470298503,-0.89103,-1.1821196999999999
66,-1.75559551797,-0.89103,-1.470298503,-1.470298503,-2.5944825754907734,-2.0380395627903,-0.89103,-2.8685377497358657,-2.317659167162397
56,-1.75559551797,-1.470298503,-1.1821196999999999,-3.139852372238507,-2.0380395627903,-1.470298503,-2.317659167162397,-2.5944825754907734,-3.139852372238507
19,-0.02450497505,-0.02985,-0.025,-0.05,-0.0148505,-0.059105985,-0.025,-0.05,0.0
17,-0.005,-0.02985,-0.04975,-0.0995,-0.005,-0.015,-0.025,-0.19701995,0.0
12,0.0,-0.015,0.0,-0.05,-0.019701995,-0.015,-0.025,0.0,0.0
9,-0.005,0.0,0.0,0.0,0.0,0.0,-0.025,-0.0995,0.0
14,-0.0148505,-0.02985,-0.0742525,0.0,-0.005,-0.0445515,-0.025,-0.05,0.0
18,-0.005,-0.02985,0.0,-0.05,-0.00995,0.0,-0.025,-0.05,0.0
32,-0.005,-0.07351492515,-0.098509975,-0.05,-0.00995,-0.015,-0.025,-0.05,0.0
