,"(1, 324)","(3, 324)","(5, 324)","(10, 324)","(1, 3354)","(3, 3354)","(5, 3354)","(10, 3354)","(0, 0)"
20,-0.16213547546985832,-0.4864064264095751,-1.0470839647047254,-1.7217038971292806,-0.14472338636385382,-0.4761681074844193,-0.8275706035757987,-1.8190725696806438,0.0
21,-0.0292599252995,-0.11588295835811985,-0.169836630232525,-0.05,-0.02450497505,-0.0877797758985,-0.098509975,-0.33967326046505,0.0
16,-0.0292599252995,-0.101901978139515,-0.04975,-0.148505,-0.033967326046505,-0.059105985,-0.0742525,-0.19701995,0.0
14,-0.061239488500516005,-0.20991246803806723,-0.19313826393019973,-0.6123948850051602,-0.052330872870641774,-0.22281334335768657,-0.413715596374781,-1.4113473370086245,0.0
17,-0.00995,-0.12972412877453865,-0.19313826393019973,-0.33967326046505,-0.02450497505,-0.101901978139515,-0.098509975,-0.33967326046505,0.0
13,-0.0292599252995,-0.0877797758985,-0.3061974425025801,-0.6562709361551086,-0.0292599252995,-0.0877797758985,-0.19313826393019973,-0.6123948850051602,0.0
1,-0.10716092959639052,-0.30957857453451676,-0.37135557226281096,-1.264139528342018,-0.06997082267935574,-0.20991246803806723,-0.169836630232525,-0.6123948850051602,0.0
-8,-8.68340318183123,-8.25058992126439,-7.129718569586887,-8.030898910368071,-6.429655775783431,-8.68340318183123,-9.7281285281915,-8.25058992126439,-18.79607158637191
-19,-6.429655775783431,-8.030898910368071,-5.214941284932398,-7.358421383891018,-5.95108231382862,-7.358421383891018,-7.358421383891018,-8.25058992126439,-5.214941284932398
-30,-2.8685377497358657,-2.8685377497358657,-2.8685377497358657,-2.8685377497358657,-2.5944825754907734,-2.0380395627903,-2.5944825754907734,-4.198249360761345,-3.139852372238507
-16,-8.468084022051746,-13.911953243784437,-5.708163953362243,-8.896569150012917,-9.523362149688383,-6.8987056258453405,-9.523362149688383,-8.68340318183123,-10.526921148947926
