,"(1, 509)","(3, 509)","(5, 509)","(10, 509)","(1, 3354)","(3, 3354)","(5, 3354)","(10, 3354)","(0, 0)"
20,-0.0148505,-0.0877797758985,-0.23904481247798876,-0.0995,-0.005,-0.1704226924258061,-0.19313826393019973,-0.2450497505,0.0
25,-0.005,-0.015,-0.04975,-0.0995,-0.0148505,-0.0445515,-0.04975,-0.0995,0.0
23,-0.00995,-0.015,-0.04975,0.0,-0.0148505,0.0,-0.0742525,-0.0995,0.0
27,-0.005,-0.02985,-0.0742525,0.0,-0.005,-0.0445515,-0.04975,-0.05,0.0
24,-0.005,-0.0445515,0.0,-0.0995,-0.005,-0.02985,-0.025,-0.0995,0.0
30,-0.00995,-0.02985,-0.025,0.0,-0.005,-0.015,-0.025,-0.05,0.0
32,-0.00995,0.0,-0.04975,-0.148505,0.0,-0.059105985,-0.025,-0.05,0.0
40,-0.019701995,-0.015,-0.0742525,-0.05,-0.005,-0.02985,-0.025,-0.148505,0.0
55,-0.597,-1.75559551797,-0.597,-2.0380395627903,-0.89103,-2.5944825754907734,-1.1821196999999999,-0.597,-1.1821196999999999
66,-2.0380395627903,-0.89103,-0.597,-0.597,-1.1821196999999999,-1.1821196999999999,-1.1821196999999999,-1.470298503,-0.89103
68,-0.89103,-2.5944825754907734,-0.89103,-0.89103,-1.1821196999999999,-1.1821196999999999,-1.1821196999999999,-0.89103,-1.1821196999999999
63,-1.75559551797,-1.470298503,-0.89103,-1.470298503,-0.89103,-0.89103,-1.1821196999999999,-0.89103,-1.1821196999999999
62,-1.470298503,-1.1821196999999999,-0.89103,-0.89103,-0.89103,-0.89103,-1.75559551797,-0.89103,-0.89103
59,-1.1821196999999999,-0.597,-1.1821196999999999,-0.89103,-0.89103,-1.470298503,-1.75559551797,-0.597,-1.75559551797
73,-0.89103,-0.597,-0.597,-0.3,-1.1821196999999999,-0.3,-0.89103,-1.470298503,-0.597
67,-0.3,-2.0380395627903,-1.75559551797,-0.89103,-0.89103,-3.139852372238507,-0.597,-0.3,-0.89103
