,"(1, 324)","(3, 324)","(5, 324)","(10, 324)","(1, 509)","(3, 509)","(5, 509)","(10, 509)","(0, 0)"
20,-0.04324137625817955,-0.15699261861192534,-0.19313826393019973,-0.148505,-0.019701995,-0.18371846550154805,-0.21620688129089774,-0.4780896249559775,0.0
15,-0.005,-0.059105985,-0.04975,-0.292599252995,-0.0148505,-0.0445515,-0.04975,-0.148505,0.0
12,-0.019701995,-0.059105985,-0.098509975,-0.148505,-0.005,-0.0445515,-0.04975,-0.292599252995,0.0
7,-0.005,-0.0445515,-0.04975,0.0,-0.0148505,0.0,-0.098509975,-0.19701995,0.0
11,-0.019701995,-0.015,-0.025,-0.05,-0.019701995,0.0,-0.0742525,-0.19701995,0.0
16,-0.005,-0.015,-0.025,-0.0995,-0.0148505,-0.059105985,-0.04975,-0.05,0.0
4,-0.019701995,-0.0877797758985,-0.04975,-0.2450497505,-0.00995,0.0,-0.025,-0.148505,0.0
2,-0.00995,-0.015,-0.098509975,-0.0995,0.0,-0.07351492515,-0.0742525,-0.05,0.0
3,-0.00995,-0.02985,-0.04975,-0.2450497505,-0.005,-0.059105985,-0.12252487525,-0.0995,0.0
-1,-0.597,-1.1821196999999999,-0.89103,-0.3,-0.89103,-0.597,-0.89103,-0.3,-1.470298503
-3,-0.597,-0.597,-0.89103,-0.597,0.0,-0.597,0.0,-1.1821196999999999,-1.75559551797
-7,-0.3,0.0,-1.1821196999999999,-0.597,-1.1821196999999999,-0.3,-0.89103,-0.89103,-1.1821196999999999
-5,-1.1821196999999999,-0.597,-0.597,-0.597,-1.1821196999999999,-0.89103,-0.597,-0.597,-1.1821196999999999
-10,-0.597,-0.89103,-0.597,-0.597,-0.597,-0.3,-0.3,-0.597,-0.3
-12,-1.1821196999999999,-0.597,-0.597,-0.597,-0.597,-0.597,-0.3,-0.3,0.0
-16,-0.89103,-0.3,-0.3,-0.3,-0.597,-0.3,-0.3,-0.89103,-0.597
-11,-0.597,-0.89103,-1.1821196999999999,-0.89103,-0.89103,-0.89103,-0.3,0.0,-1.1821196999999999
-18,-0.3,-0.3,-0.3,0.0,-0.3,-0.3,-0.3,-0.3,-0.597
-23,0.0,0.0,-0.3,0.0,0.0,-0.3,0.0,-0.3,0.0
-27,-0.597,-0.597,0.0,0.0,0.0,0.0,-0.3,-0.597,0.0
29,-0.019701995,-0.059105985,-0.025,0.0,-0.005,-0.0445515,-0.025,-0.05,0.0
30,-0.005,-0.015,-0.025,-0.05,-0.00995,-0.015,-0.098509975,-0.0995,0.0
35,-0.00995,-0.015,-0.025,0.0,-0.00995,-0.0445515,-0.04975,0.0,0.0
27,-0.005,-0.015,-0.04975,-0.0995,-0.0148505,-0.015,-0.04975,-0.05,0.0
33,-0.005,-0.02985,0.0,-0.05,-0.005,-0.015,-0.0742525,0.0,0.0
24,-0.0148505,-0.015,-0.04975,-0.0995,-0.00995,-0.0445515,-0.0742525,-0.19701995,0.0
5,-0.019701995,-0.02985,0.0,-0.148505,-0.0148505,-0.0445515,0.0,-0.0995,0.0
0,-0.005,-0.015,-0.04975,-0.05,-0.02450497505,-0.07351492515,0.0,-0.148505,0.0
-2,-1.1821196999999999,-0.3,-0.597,-1.470298503,-0.597,-0.89103,-1.75559551797,-0.3,-1.1821196999999999
1,-0.00995,-0.02985,-0.025,-0.0995,-0.0148505,-0.0445515,-0.0742525,-0.0995,0.0
6,-0.0148505,-0.02985,-0.025,-0.0995,-0.0148505,-0.02985,-0.0742525,-0.148505,0.0
10,-0.02450497505,-0.0445515,-0.04975,-0.0995,-0.00995,-0.02985,-0.04975,-0.0995,0.0
21,-0.019701995,-0.059105985,-0.12252487525,-0.0995,-0.005,-0.015,-0.0742525,0.0,0.0
34,-0.005,0.0,0.0,-0.05,-0.00995,-0.07351492515,-0.0742525,-0.05,0.0
22,-0.00995,-0.059105985,0.0,-0.0995,-0.005,-0.015,-0.04975,0.0,0.0
17,-0.00995,-0.02985,-0.0742525,-0.19701995,-0.019701995,-0.07351492515,-0.04975,-0.19701995,0.0
13,-0.0148505,-0.07351492515,-0.04975,-0.0995,-0.00995,-0.015,-0.025,-0.0995,0.0
14,-0.00995,-0.0445515,-0.098509975,-0.05,-0.02450497505,-0.07351492515,-0.0742525,-0.05,0.0
8,-0.00995,-0.015,-0.0742525,-0.148505,-0.00995,-0.02985,-0.12252487525,-0.0995,0.0
18,-0.005,-0.02985,-0.0742525,0.0,-0.0148505,-0.0445515,-0.04975,-0.0995,0.0
28,-0.00995,-0.0445515,-0.0742525,-0.0995,-0.005,-0.015,-0.025,-0.19701995,0.0
25,-0.0148505,-0.02985,-0.12252487525,-0.05,-0.005,-0.101901978139515,-0.098509975,-0.148505,0.0
31,0.0,-0.059105985,-0.025,-0.0995,-0.005,-0.015,-0.098509975,-0.19701995,0.0
-6,0.0,-0.89103,-0.597,-0.597,-0.3,-1.470298503,-0.597,0.0,-0.89103
19,-0.005,-0.0445515,-0.04975,-0.148505,-0.00995,-0.02985,-0.04975,-0.2450497505,0.0
9,0.0,-0.015,-0.025,-0.05,0.0,-0.0445515,-0.098509975,-0.05,0.0
-20,0.0,-0.3,-0.3,0.0,-0.3,-0.597,-0.597,0.0,-0.3
-25,0.0,0.0,-0.597,0.0,-0.3,0.0,-0.597,-0.3,-0.3
-31,-0.597,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0
-30,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,-0.3,0.0
-19,-0.597,-0.597,-0.597,-0.597,-0.3,0.0,-0.597,0.0,-0.3
32,-0.0148505,-0.0445515,-0.0742525,-0.148505,-0.0148505,-0.059105985,-0.025,-0.19701995,0.0
46,0.0,0.0,-0.025,0.0,-0.005,-0.015,0.0,-0.0995,0.0
42,-0.005,0.0,-0.04975,0.0,-0.00995,0.0,-0.025,-0.05,0.0
44,0.0,0.0,-0.025,-0.0995,0.0,0.0,0.0,-0.05,0.0
48,0.0,-0.015,0.0,-0.05,0.0,0.0,0.0,0.0,0.0
52,-0.3,0.0,-0.3,-0.3,0.0,0.0,-0.3,-0.3,-0.597
40,-0.0148505,0.0,0.0,0.0,-0.00995,-0.015,0.0,-0.148505,0.0
37,-0.00995,-0.0445515,-0.04975,-0.05,0.0,-0.015,0.0,-0.0995,0.0
23,-0.005,-0.059105985,-0.04975,-0.148505,-0.019701995,-0.0445515,-0.025,-0.0995,0.0
-4,-0.3,-1.75559551797,-0.89103,-0.597,-0.597,-0.3,-0.89103,-0.89103,-1.1821196999999999
-9,0.0,-0.3,-0.89103,-0.3,-0.3,0.0,-0.597,-0.89103,-0.597
-13,0.0,-0.3,-0.597,-0.597,0.0,-0.597,-0.3,-0.597,-0.3
41,0.0,-0.015,-0.025,-0.05,-0.005,0.0,-0.025,0.0,0.0
38,-0.005,-0.015,-0.04975,-0.05,-0.005,-0.015,-0.025,-0.05,0.0
39,0.0,-0.015,-0.025,0.0,-0.005,-0.02985,-0.04975,0.0,0.0
55,0.0,-0.3,0.0,-0.3,0.0,0.0,0.0,0.0,-0.597
69,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,-0.3,0.0,-0.3,0.0,-0.3,0.0,0.0
66,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0
61,-0.597,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,-0.597
