,"(1, 324)","(3, 324)","(5, 324)","(10, 324)","(1, 3354)","(3, 3354)","(5, 3354)","(10, 3354)","(0, 0)"
20,-0.12641395283420181,-0.4234042011025874,-0.5941432141322407,-1.3750983202107319,-0.11882864282644813,-0.49654236214547937,-0.7236169318192691,-1.301498133058598,0.0
10,-0.019701995,-0.101901978139515,-0.12252487525,-0.38627652786039945,-0.05680756414193536,-0.07351492515,-0.19313826393019973,-0.4324137625817955,0.0
8,-0.06562709361551085,-0.059105985,-0.23904481247798876,-0.6562709361551086,-0.04324137625817955,-0.11588295835811985,-0.3281354680775543,-0.6997082267935575,0.0
6,-0.061239488500516005,-0.1704226924258061,-0.3281354680775543,-0.6997082267935575,-0.07852840330803657,-0.19688128084653256,-0.413715596374781,-0.6997082267935575,0.0
4,-0.06997082267935574,-0.20991246803806723,-0.3061974425025801,-0.4780896249559775,-0.061239488500516005,-0.2482293578248686,-0.19313826393019973,-0.2450497505,0.0
-3,-8.896569150012917,-6.8987056258453405,-5.95108231382862,-7.358421383891018,-7.358421383891018,-5.95108231382862,-6.429655775783431,-6.665359218025596,-26.904896090952686
-19,-3.674369310030961,-5.462791872083074,-6.665359218025596,-5.708163953362243,-5.95108231382862,-5.214941284932398,-5.95108231382862,-3.937625616930651,-3.139852372238507
-24,-4.198249360761345,-3.139852372238507,-4.198249360761345,-4.456266867153731,-2.8685377497358657,-6.429655775783431,-3.408453848516122,-4.198249360761345,-6.191571490690334
-23,-4.964587156497372,-2.5944825754907734,-4.711704198482194,-2.5944825754907734,-4.456266867153731,-4.711704198482194,-6.665359218025596,-4.198249360761345,-4.198249360761345
-36,-2.317659167162397,-1.470298503,-0.89103,-1.470298503,-0.597,-1.1821196999999999,-3.139852372238507,-0.597,-1.1821196999999999
-32,-3.139852372238507,-1.75559551797,-3.139852372238507,-3.139852372238507,-2.317659167162397,-2.317659167162397,-1.75559551797,-2.0380395627903,-1.75559551797
-33,-1.470298503,-2.317659167162397,-1.470298503,-2.317659167162397,-2.317659167162397,-2.0380395627903,-1.1821196999999999,-1.75559551797,-3.139852372238507
-43,-1.470298503,-0.3,-0.3,-0.3,0.0,-0.597,-0.3,-1.1821196999999999,-2.317659167162397
-45,-0.89103,-0.597,-0.3,-0.3,-0.3,-0.597,-0.3,-0.89103,-1.1821196999999999
-39,-1.470298503,-1.1821196999999999,-0.89103,-1.1821196999999999,-1.1821196999999999,-1.470298503,-0.89103,-1.470298503,-1.470298503
-29,-0.89103,-3.139852372238507,-2.8685377497358657,-3.139852372238507,-3.139852372238507,-2.317659167162397,-2.317659167162397,-3.674369310030961,-2.5944825754907734
-26,-3.937625616930651,-3.408453848516122,-2.317659167162397,-3.408453848516122,-2.0380395627903,-3.139852372238507,-2.5944825754907734,-2.317659167162397,-5.214941284932398
-20,-4.711704198482194,-5.214941284932398,-4.456266867153731,-4.964587156497372,-5.708163953362243,-6.429655775783431,-4.456266867153731,-3.408453848516122,-4.198249360761345
-25,-2.5944825754907734,-4.198249360761345,-4.711704198482194,-2.317659167162397,-2.8685377497358657,-4.711704198482194,-2.8685377497358657,-2.5944825754907734,-2.8685377497358657
-21,-4.964587156497372,-3.408453848516122,-4.198249360761345,-3.408453848516122,-3.937625616930651,-4.456266867153731,-5.95108231382862,-7.129718569586887,-4.198249360761345
15,-0.052330872870641774,-0.0445515,-0.169836630232525,-0.33967326046505,-0.02450497505,-0.059105985,-0.19313826393019973,-0.33967326046505,0.0
19,-0.033967326046505,-0.11588295835811985,-0.04975,-0.38627652786039945,-0.04324137625817955,-0.07351492515,-0.098509975,-0.33967326046505,0.0
17,-0.02450497505,-0.059105985,-0.23904481247798876,-0.19701995,-0.02450497505,-0.101901978139515,-0.12252487525,-0.0995,0.0
